Tiempo (s),Datos Seriales
0.0,12.94
0.01,12.0
0.02,10.88
0.03,10.13
0.04,9.38
0.05,8.44
0.06,7.5
0.07,7.13
0.08,6.19
0.09,5.44
0.1,5.06
0.11,4.31
0.12,3.56
0.13,3.0
0.14,2.63
0.15,2.06
0.16,1.5
0.17,0.94
0.18,0.56
0.19,0.0
0.2,-0.37
0.21,-0.94
0.22,-1.12
0.23,-1.69
0.24,-2.06
0.25,-2.44
0.26,-2.63
0.27,-3.19
0.28,-3.38
0.29,-3.75
0.3,-3.94
0.31,-4.5
0.32,-4.88
0.33,-4.88
0.34,-5.06
0.35000000000000003,-5.44
0.36,-5.44
0.37,-6.0
0.38,-6.0
0.39,-6.38
0.4,-6.56
0.41000000000000003,-6.75
0.42,-6.94
0.43,-7.31
0.44,-7.31
0.45,-7.69
0.46,-7.88
0.47000000000000003,-8.06
0.48,-8.25
0.49,-8.25
0.5,-8.63
0.51,-8.81
0.52,-8.81
0.53,-9.0
0.54,-9.19
0.55,-9.38
0.56,-9.38
0.5700000000000001,-9.56
0.58,-9.94
0.59,-9.94
0.6,-10.13
0.61,-10.13
0.62,-10.31
0.63,-10.31
0.64,-10.5
0.65,-10.69
0.66,-10.88
0.67,-10.88
0.68,-10.88
0.6900000000000001,-11.06
0.7000000000000001,-11.06
0.71,-11.25
0.72,-11.44
0.73,-11.63
0.74,-11.63
0.75,-11.63
0.76,-11.63
0.77,-11.81
0.78,-12.0
0.79,-12.0
0.8,-12.19
0.81,-12.19
0.8200000000000001,-12.38
0.8300000000000001,-12.38
0.84,-12.38
0.85,-12.38
0.86,-12.56
0.87,-12.56
0.88,-12.75
0.89,-12.75
0.9,-12.75
0.91,-12.94
0.92,-12.94
0.93,-12.75
0.9400000000000001,-13.13
0.9500000000000001,-12.94
0.96,-13.13
0.97,-13.31
0.98,-13.13
0.99,-13.31
1.0,-13.5
1.01,-13.31
1.02,-13.5
1.03,-13.69
1.04,-13.5
1.05,-13.5
1.06,-13.69
1.07,-13.88
1.08,-13.88
1.09,-13.69
1.1,-13.88
1.11,-13.88
1.12,-13.88
1.1300000000000001,-14.06
1.1400000000000001,-14.06
1.1500000000000001,-14.06
1.16,-14.06
1.17,-14.25
1.18,-14.25
1.19,-14.25
1.2,-14.44
1.21,-14.25
1.22,-14.44
1.23,-14.44
1.24,-14.44
1.25,-14.44
1.26,-14.44
1.27,-14.44
1.28,-14.44
1.29,-14.81
1.3,-14.44
1.31,-14.63
1.32,-14.63
1.33,-14.63
1.34,-14.81
1.35,-14.63
1.36,-14.81
1.37,-14.81
1.3800000000000001,-15.0
1.3900000000000001,-15.0
1.4000000000000001,-15.0
1.41,-14.81
1.42,-15.0
1.43,-15.19
1.44,-14.81
1.45,-15.0
1.46,-15.19
1.47,-15.19
1.48,-15.19
1.49,-15.19
1.5,-15.19
1.51,-15.38
1.52,-15.19
1.53,-15.19
1.54,-15.19
1.55,-15.38
1.56,-15.38
1.57,-15.38
1.58,-15.38
1.59,-15.56
1.6,-15.56
1.61,-15.56
1.62,-15.56
1.6300000000000001,-15.56
1.6400000000000001,-15.56
1.6500000000000001,-15.56
1.6600000000000001,-15.75
1.67,-15.75
1.68,-15.56
1.69,-15.56
1.7,-15.75
1.71,-15.75
1.72,-15.56
1.73,-15.94
1.74,-15.75
1.75,-15.56
1.76,-15.56
1.77,-15.75
1.78,-15.94
1.79,-15.94
1.8,-15.94
1.81,-15.94
1.82,-15.94
1.83,-15.94
1.84,-15.94
1.85,-15.94
1.86,-15.94
1.87,-16.12
1.8800000000000001,-16.12
1.8900000000000001,-15.94
1.9000000000000001,-15.94
1.9100000000000001,-15.94
1.92,-16.12
1.93,-15.94
1.94,-16.12
1.95,-15.94
1.96,-16.12
1.97,-16.12
1.98,-16.31
1.99,-16.31
2.0,-16.12
2.0100000000000002,-16.31
2.02,-16.12
2.0300000000000002,-16.31
2.04,-16.31
2.05,-16.31
2.06,-16.31
2.07,-16.31
2.08,-16.31
2.09,-16.5
2.1,-16.31
2.11,-16.31
2.12,-16.31
2.13,-16.5
2.14,-16.5
2.15,-16.31
2.16,-16.5
2.17,-16.5
2.18,-16.5
2.19,-16.69
2.2,-16.5
2.21,-16.5
2.22,-16.5
2.23,-16.69
2.24,-16.5
2.25,-16.5
2.2600000000000002,-16.5
2.27,-16.69
2.2800000000000002,-16.5
2.29,-16.5
2.3000000000000003,-16.69
2.31,-16.5
2.32,-16.5
2.33,-16.5
2.34,-16.69
2.35,-16.69
2.36,-16.69
2.37,-16.69
2.38,-16.69
2.39,-16.69
2.4,-16.69
2.41,-16.69
2.42,-16.69
2.43,-16.69
2.44,-16.69
2.45,-16.69
2.46,-16.87
2.47,-16.69
2.48,-16.87
2.49,-16.87
2.5,-16.87
2.5100000000000002,-16.87
2.52,-16.69
2.5300000000000002,-16.87
2.54,-16.87
2.5500000000000003,-17.06
2.56,-16.87
2.57,-16.87
2.58,-17.06
2.59,-16.87
2.6,-16.87
2.61,-16.87
2.62,-17.06
2.63,-17.06
2.64,89.25
2.65,238.31
2.66,374.25
2.67,501.94
2.68,622.69
2.69,738.19
2.7,849.38
2.71,956.81
2.72,1060.31
2.73,1161.19
2.74,1258.69
2.75,1353.94
2.7600000000000002,1446.38
2.77,1536.75
2.7800000000000002,1624.88
2.79,1710.75
2.8000000000000003,1794.75
2.81,1877.06
2.82,1957.31
2.83,2035.88
2.84,2112.75
2.85,2187.94
2.86,2262.0
2.87,2334.19
2.88,2404.69
2.89,2474.06
2.9,2541.75
2.91,2608.31
2.92,2673.19
2.93,2736.94
2.94,2799.19
2.95,2860.12
2.96,2919.94
2.97,2978.25
2.98,3035.44
2.99,3091.31
3.0,3145.87
3.0100000000000002,3199.31
3.02,3251.44
3.0300000000000002,3302.62
3.04,3352.31
3.0500000000000003,3400.87
3.06,3448.5
3.0700000000000003,3494.62
3.08,3539.81
3.09,3583.87
3.1,3627.0
3.11,3669.0
3.12,3709.87
3.13,3749.62
3.14,3788.62
3.15,3826.31
3.16,3862.87
3.17,3898.87
3.18,3933.75
3.19,3967.69
3.2,4000.5
3.21,4032.56
3.22,4063.87
3.23,4093.87
3.24,4123.31
3.25,4152.0
3.2600000000000002,4179.56
3.27,4206.37
3.2800000000000002,4232.81
3.29,4257.94
3.3000000000000003,4282.69
3.31,4306.5
3.3200000000000003,4329.56
3.33,4351.87
3.34,4373.62
3.35,4394.81
3.36,4414.87
3.37,4434.75
3.38,4453.87
3.39,4472.25
3.4,4490.44
3.41,4507.5
3.42,4524.56
3.43,4540.69
3.44,4556.25
3.45,4571.44
3.46,4586.06
3.47,4600.5
3.48,4614.19
3.49,4627.31
3.5,4640.44
3.5100000000000002,4652.81
3.52,4664.62
3.5300000000000002,4676.25
3.54,4687.31
3.5500000000000003,4698.19
3.56,4708.5
3.5700000000000003,4718.62
3.58,4728.56
3.59,4737.94
3.6,4746.94
3.61,4755.75
3.62,4764.19
3.63,4772.25
3.64,4780.12
3.65,4788.0
3.66,4795.31
3.67,4802.44
3.68,4809.37
3.69,4815.94
3.7,4822.12
3.71,4828.5
3.72,4834.5
3.73,4840.12
3.74,4845.75
3.75,4851.19
3.7600000000000002,4856.25
3.77,4861.5
3.7800000000000002,4866.19
3.79,4870.87
3.8000000000000003,4875.37
3.81,4879.5
3.8200000000000003,4884.0
3.83,4887.75
3.84,4891.69
3.85,4895.44
3.86,4899.0
3.87,4902.37
3.88,4905.94
3.89,4909.12
3.9,4912.31
3.91,4915.5
3.92,4918.5
3.93,4921.31
3.94,4923.94
3.95,4926.75
3.96,4929.19
3.97,4931.81
3.98,4934.06
3.99,4936.31
4.0,4938.56
4.01,4940.81
4.0200000000000005,4943.06
4.03,4944.94
4.04,4947.0
4.05,4948.87
4.0600000000000005,4950.75
4.07,4952.44
4.08,4954.12
4.09,4955.81
4.1,4957.5
4.11,4959.0
4.12,4960.31
4.13,4961.81
4.14,4963.31
4.15,4964.62
4.16,4966.12
4.17,4967.44
4.18,4968.56
4.19,4969.87
4.2,4971.0
4.21,4971.94
4.22,4973.06
4.23,4974.37
4.24,4975.31
4.25,4976.44
4.26,4977.19
4.2700000000000005,4978.31
4.28,4979.06
4.29,4980.19
4.3,4980.94
4.3100000000000005,4981.69
4.32,4982.44
4.33,4983.19
4.34,4984.12
4.3500000000000005,4984.69
4.36,4985.44
4.37,4986.19
4.38,4986.75
4.39,4987.5
4.4,4988.06
4.41,4988.81
4.42,4989.37
4.43,4989.94
4.44,4990.69
4.45,4991.06
4.46,4991.62
4.47,4992.19
4.48,4992.56
4.49,4992.94
4.5,4993.69
4.51,4994.06
4.5200000000000005,4994.44
4.53,4995.0
4.54,4995.37
4.55,4995.75
4.5600000000000005,4996.12
4.57,4996.5
4.58,4997.06
4.59,4997.44
4.6000000000000005,4997.81
4.61,4998.19
4.62,4998.56
4.63,4999.12
4.64,4999.31
4.65,4999.69
4.66,5000.06
