t,x,y,angulo
0.0,-26.06383,-2.482835,-174.558436066284
0.03333333,-26.05582,-2.48513,-174.5517721160336
0.06666667,-26.05582,-2.48513,-174.5517721160336
0.1,-26.24609,-1.604365,-176.50198922656878
0.1333333,-26.38361,0.7531287,-181.6350825879477
0.1666667,-26.18715,3.3954860000000004,-187.3878838691006
0.2,-25.56831,5.861031,-192.9108718329473
0.2333333,-24.7923,8.621264,-199.1745863782752
0.2666667,-23.67249,11.46008,-205.83207033750944
0.3,-22.41516,13.896159999999998,-211.7966247434996
0.3333333,-20.76492,16.31259,-218.1526126761869
0.3666667,-18.82981,18.56203,-224.5896858363789
0.4,-16.59019,20.683770000000003,-231.26734181264416
0.4333333,-14.36039,22.45189,-237.39672675456376
0.4666667,-11.63945,24.08249,-244.20478384598204
0.5,-8.741701,25.43805,-251.03488743630183
0.5333333,-5.755542999999999,26.273000000000003,-257.64358946348494
0.5666667,-3.103362,26.75432,-263.383556079286
0.6,-0.7458688,26.95078,-268.4147312698443
0.6333333,-0.2252557,26.76414,-269.5177914851985
0.6666667,-0.6924185,26.65109,-268.5117406117998
0.7,-1.535844,26.5243,-266.68608668351385
0.7333333,-2.395807,26.4361,-264.8216391165691
0.7666667,-2.732075,26.4361,-264.09963583980226
0.8,-3.090393,26.47469,-263.34198977354214
0.8333333,-3.492812,26.49122,-262.4889947038648
0.8666667,-3.906256,26.45264,-261.5998516761676
0.9,-4.259061,26.40302,-260.8365755911132
0.9333333,-4.396876000000001,26.41956,-260.5511490364273
0.9666667,-4.187398,26.38648,-260.982651930827
1.0,-3.99997,26.4361,-261.396004341615
1.033333,-3.911768,26.42507,-261.5795174239667
1.066667,-3.823567,26.43059,-261.7684428741609
1.1,-3.713315,26.408530000000003,-261.9960892427011
1.133333,-3.663702,26.41956,-262.1049255134419
1.166667,-3.663702,26.41956,-262.1049255134419
1.2,-3.630627,26.41405,-262.1737014450029
1.233333,-3.696778,26.392,-262.0263483863457
1.266667,-3.729853,26.38097,-261.9526187795936
1.3,-3.917281,26.32585,-261.5364998574555
1.333333,-4.027533,26.33136,-261.303681031938
1.366667,-4.0936840000000005,26.35341,-261.1703606117137
1.4,-4.165347,26.347900000000003,-261.01644220492926
1.433333,-4.132272,26.34238,-261.08478867001924
1.466667,-4.016507,26.33136,-261.32712607309605
1.5,-3.862155,26.36443,-261.6659546850306
1.533333,-3.619601,26.38648,-262.1891240089476
1.566667,-3.36051,26.4361,-262.75551700673594
1.6,-3.140006,26.44712,-263.2290993876305
1.633333,-3.2833340000000004,26.40302,-262.911402723212
1.666667,-3.525887,26.40302,-262.3936635739784
1.7,-3.740878,26.40302,-261.93579617375934
1.733333,-3.99997,26.38648,-261.38006727353303
1.766667,-4.19291,26.39751,-260.9746881298663
1.8,-4.374826,26.41956,-260.5976861068848
1.833333,-4.330725,26.408530000000003,-260.68697982124064
1.866667,-4.203935,26.41405,-260.95692120231337
1.9,-4.027533,26.46917,-261.3482709811599
1.933333,-3.900743,26.4802,-261.6201447092122
1.966667,-3.713315,26.47469,-262.0158326930398
2.0,-3.415636,26.496740000000003,-262.6546358716367
2.033333,-3.145519,26.47469,-263.224319764467
2.066667,-3.178595,26.45264,-263.14809182737747
2.1,-3.4431990000000003,26.408530000000003,-262.57156132333733
2.133333,-3.691265,26.38648,-262.03644262979094
2.166667,-3.845617,26.39751,-261.7113986557238
