P1,Q2,P2,P3,P4,Ad,F
,,,,,,
P1,Q2,P2,P3,P4,Ad,F
0,3,12,7,18,11,51
13,3,17,14,18,0,65
20,3,30,25,25,6,109
10,0,8,0,0,2,20
0,3,11,25,8,3,50
12,0,0,0,0,0,12
11,3,25,5,25,3,72
6,0,0,0,0,0,6
8,3,0,9,18,6,44
20,3,14,15,5,4,61
8,3,15,5,0,0,31
5,3,15,4,0,0,27
7,3,13,15,10,2,50
18,3,19,10,25,5,80
16,3,18,8,17,0,62
0,3,5,5,0,0,13
8,3,18,5,0,0,34
13,3,13,8,0,0,37
6,0,4,0,0,0,10
10,0,7,0,0,0,17
12,3,8,13,5,0,41
11,3,9,8,8,5,44
11,3,23,14,18,4,73
14,3,23,8,25,4,77
3,0,0,0,0,0,3
3,0,3,5,0,4,15
3,0,0,0,0,0,3
13,3,6,22,10,2,56
18,3,14,9,10,0,54
8,0,8,0,0,2,18
16,3,10,7,22,7,65
0,0,3,0,0,0,3
13,0,0,0,0,0,13
9,3,25,17,0,4,58
0,0,2,0,0,6,8
6,3,12,18,18,6,63
7,3,19,15,10,6,60
25,3,15,6,5,0,54
16,3,13,20,18,1,71
21,3,20,22,18,2,86
17,3,23,25,13,2,83
8,0,0,0,0,0,8
