Tiempo(ms),Q1(deg),Q2(deg),Q3(deg),Q4(deg)
10,-0.09,0.06,-0.05,0.07
20,-0.09,0.06,-0.05,0.07
30,-0.09,0.06,-0.05,0.07
40,-0.09,0.06,-0.05,0.07
50,-0.09,0.06,-0.05,0.07
60,-0.09,0.06,-0.05,0.07
70,-0.09,0.06,-0.05,0.07
80,-0.09,0.06,-0.05,0.07
90,-0.09,0.06,-0.05,0.07
100,-0.09,0.06,-0.05,0.07
110,-0.09,0.06,-0.05,0.07
120,-0.09,0.06,-0.05,0.07
130,-0.09,0.06,-0.05,0.07
140,-0.09,0.06,-0.05,0.07
150,-0.09,0.06,-0.05,0.07
160,-0.09,0.06,-0.05,0.07
170,-0.09,0.06,-0.05,0.07
180,-0.09,0.06,-0.05,0.07
190,-0.09,0.06,-0.05,0.07
200,-0.09,0.06,-0.05,0.07
210,-0.09,0.06,-0.05,0.07
220,-0.09,0.06,-0.05,0.07
230,-0.09,0.06,-0.05,0.07
240,-0.09,0.06,-0.05,0.07
250,-0.09,0.06,-0.05,0.07
260,-0.09,0.06,-0.05,0.07
270,-0.09,0.06,-0.05,0.07
280,-0.09,0.06,-0.05,0.07
290,-0.09,0.06,-0.05,0.07
300,-0.09,0.06,-0.05,0.07
310,-0.09,0.06,-0.05,0.07
320,-0.09,0.06,-0.05,0.07
330,-0.09,0.06,-0.05,0.07
340,-0.09,0.06,-0.05,0.07
350,-0.09,0.06,-0.05,0.07
360,-0.09,0.06,-0.05,0.07
370,-0.09,0.06,-0.05,0.07
380,-0.09,0.06,-0.05,0.07
390,-0.09,0.06,-0.05,0.07
400,-0.09,0.06,-0.05,0.07
410,-0.09,0.06,-0.05,0.07
420,-0.09,0.06,-0.05,0.07
430,-0.09,0.06,-0.05,0.07
440,-0.09,0.06,-0.05,0.07
450,-0.09,0.06,-0.05,0.07
460,-0.09,0.06,-0.05,0.07
470,-0.09,0.06,-0.05,0.07
480,-0.09,0.06,-0.05,0.07
490,-0.09,0.06,-0.05,0.07
500,-0.09,0.06,-0.05,0.07
510,-0.09,0.06,-0.05,0.07
520,-0.09,0.06,-0.05,0.07
530,-0.09,0.06,-0.05,0.07
540,-0.09,0.06,-0.05,0.07
550,-0.09,0.06,-0.05,0.07
560,-0.09,0.06,-0.05,0.07
570,-0.09,0.06,-0.05,0.07
580,-0.09,0.06,-0.05,0.07
590,-0.09,0.06,-0.05,0.07
600,-0.09,0.06,-0.05,0.07
610,-0.09,0.06,-0.05,0.07
620,-0.09,0.06,-0.05,0.07
630,-0.09,0.06,-0.05,0.07
640,-0.09,0.06,-0.05,0.07
650,-0.09,0.06,-0.05,0.07
660,-0.09,0.06,-0.05,0.07
670,-0.09,0.06,-0.05,0.07
680,-0.09,0.06,-0.05,0.07
690,-0.09,0.06,-0.05,0.07
700,-0.09,0.06,-0.05,0.07
710,-0.09,0.06,-0.05,0.07
720,-0.09,0.06,-0.05,0.07
730,-0.09,0.06,-0.05,0.07
740,-0.09,0.06,-0.05,0.07
750,-0.09,0.06,-0.05,0.07
760,-0.09,0.06,-0.05,0.07
770,-0.09,0.06,-0.05,0.07
780,-0.09,0.06,-0.05,0.07
790,-0.09,0.06,-0.05,0.07
800,-0.09,0.06,-0.05,0.07
810,-0.09,0.06,-0.05,0.07
820,-0.09,0.06,-0.05,0.07
830,-0.09,0.06,-0.05,0.07
840,-0.09,0.06,-0.05,0.07
850,-0.09,0.06,-0.05,0.07
860,-0.09,0.06,-0.05,0.07
870,-0.09,0.06,-0.05,0.07
880,-0.09,0.06,-0.05,0.07
890,-0.09,0.06,-0.05,0.07
900,-0.09,0.06,-0.05,0.07
910,-0.09,0.06,-0.05,0.07
920,-0.09,0.06,-0.05,0.07
930,-0.09,0.06,-0.05,0.07
940,-0.09,0.06,-0.05,0.07
950,-0.09,0.06,-0.05,0.07
960,-0.09,0.06,-0.05,0.07
970,-0.09,0.06,-0.05,0.07
980,-0.09,0.06,-0.05,0.07
990,-0.09,0.06,-0.05,0.07
1000,-0.09,0.06,-0.05,0.07
1010,-0.09,0.06,-0.05,0.07
1020,-0.09,0.06,-0.05,0.07
1030,-0.09,0.06,-0.05,0.07
1040,-0.09,0.06,-0.05,0.07
1050,-0.09,0.06,-0.05,0.07
1060,-0.09,0.06,-0.05,0.07
1070,-0.09,0.06,-0.05,0.07
1080,-0.09,0.07,-0.05,0.08
1090,-0.09,0.07,-0.05,0.08
1100,-0.10,0.10,-0.05,0.11
1110,-0.11,0.14,-0.05,0.14
1120,-0.13,0.19,-0.05,0.19
1130,-0.15,0.25,-0.05,0.25
1140,-0.18,0.32,-0.05,0.32
1150,-0.22,0.40,-0.05,0.39
1160,-0.26,0.48,-0.05,0.48
1170,-0.31,0.57,-0.05,0.57
1180,-0.35,0.66,-0.05,0.67
1190,-0.41,0.75,-0.05,0.77
1200,-0.46,0.84,-0.05,0.88
1210,-0.52,0.94,-0.05,0.99
1220,-0.58,1.04,-0.05,1.10
1230,-0.64,1.14,-0.06,1.22
1240,-0.71,1.25,-0.08,1.35
1250,-0.78,1.35,-0.10,1.47
1260,-0.85,1.46,-0.12,1.60
1270,-0.93,1.57,-0.15,1.74
1280,-1.00,1.68,-0.19,1.87
1290,-1.08,1.79,-0.23,2.02
1300,-1.16,1.90,-0.27,2.16
1310,-1.24,2.01,-0.31,2.32
1320,-1.32,2.12,-0.36,2.47
1330,-1.41,2.23,-0.41,2.63
1340,-1.50,2.34,-0.47,2.80
1350,-1.59,2.45,-0.53,2.96
1360,-1.68,2.57,-0.59,3.14
1370,-1.77,2.68,-0.66,3.32
1380,-1.87,2.80,-0.73,3.50
1390,-1.97,2.91,-0.80,3.69
1400,-2.07,3.03,-0.88,3.89
1410,-2.17,3.16,-0.96,4.09
1420,-2.27,3.29,-1.05,4.30
1430,-2.38,3.42,-1.13,4.52
1440,-2.49,3.55,-1.23,4.74
1450,-2.59,3.68,-1.32,4.96
1460,-2.70,3.82,-1.42,5.20
1470,-2.82,3.95,-1.53,5.44
1480,-2.93,4.10,-1.64,5.68
1490,-3.04,4.24,-1.75,5.94
1500,-3.16,4.38,-1.86,6.20
1510,-3.28,4.53,-1.98,6.47
1520,-3.40,4.68,-2.11,6.74
1530,-3.52,4.84,-2.24,7.03
1540,-3.64,4.99,-2.37,7.33
1550,-3.77,5.15,-2.50,7.63
1560,-3.90,5.31,-2.65,7.95
1570,-4.04,5.48,-2.79,8.28
1580,-4.18,5.65,-2.94,8.62
1590,-4.32,5.83,-3.10,8.96
1600,-4.47,6.02,-3.26,9.31
1610,-4.62,6.20,-3.42,9.66
1620,-4.78,6.40,-3.59,10.02
1630,-4.94,6.59,-3.77,10.37
1640,-5.11,6.79,-3.95,10.73
1650,-5.28,7.00,-4.14,11.09
1660,-5.46,7.21,-4.33,11.46
1670,-5.64,7.42,-4.52,11.82
1680,-5.84,7.64,-4.72,12.18
1690,-6.03,7.86,-4.93,12.54
1700,-6.23,8.09,-5.14,12.90
1710,-6.44,8.33,-5.35,13.26
1720,-6.66,8.56,-5.57,13.62
1730,-6.88,8.80,-5.79,13.98
1740,-7.10,9.05,-6.01,14.34
1750,-7.33,9.31,-6.24,14.70
1760,-7.56,9.57,-6.47,15.06
1770,-7.80,9.84,-6.69,15.42
1780,-8.03,10.11,-6.92,15.78
1790,-8.27,10.39,-7.15,16.13
1800,-8.51,10.66,-7.38,16.49
1810,-8.75,10.94,-7.61,16.85
1820,-8.99,11.22,-7.84,17.21
1830,-9.23,11.49,-8.07,17.57
1840,-9.47,11.77,-8.29,17.93
1850,-9.71,12.05,-8.52,18.28
1860,-9.96,12.33,-8.75,18.64
1870,-10.20,12.60,-8.98,19.00
1880,-10.44,12.88,-9.21,19.36
1890,-10.69,13.16,-9.43,19.71
1900,-10.93,13.43,-9.66,20.07
1910,-11.17,13.71,-9.89,20.43
1920,-11.41,13.98,-10.11,20.79
1930,-11.66,14.26,-10.34,21.14
1940,-11.90,14.54,-10.56,21.50
1950,-12.14,14.81,-10.79,21.86
1960,-12.38,15.08,-11.02,22.21
1970,-12.62,15.35,-11.24,22.57
1980,-12.86,15.62,-11.47,22.93
1990,-13.10,15.89,-11.69,23.28
2000,-13.34,16.16,-11.91,23.64
2010,-13.58,16.43,-12.14,24.00
2020,-13.81,16.69,-12.36,24.35
2030,-14.05,16.96,-12.58,24.71
2040,-14.29,17.23,-12.80,25.06
2050,-14.52,17.51,-13.02,25.42
2060,-14.76,17.78,-13.25,25.77
2070,-15.00,18.05,-13.47,26.13
2080,-15.23,18.32,-13.69,26.49
2090,-15.46,18.59,-13.91,26.84
2100,-15.70,18.86,-14.14,27.20
2110,-15.93,19.12,-14.36,27.55
2120,-16.16,19.39,-14.58,27.91
2130,-16.39,19.66,-14.80,28.26
2140,-16.62,19.92,-15.02,28.62
2150,-16.85,20.18,-15.24,28.97
2160,-17.08,20.45,-15.46,29.33
2170,-17.31,20.71,-15.68,29.68
2180,-17.55,20.97,-15.90,30.04
2190,-17.78,21.24,-16.12,30.39
2200,-18.01,21.50,-16.35,30.74
2210,-18.24,21.76,-16.56,31.10
2220,-18.48,22.02,-16.78,31.45
2230,-18.71,22.28,-17.00,31.81
2240,-18.95,22.54,-17.22,32.16
