Tiempo;Canal A;Canal B
(s);(V);(V)

-5,00019992;0,66042050;0,06158635
-5,00014992;0,66042050;0,06115909
-5,00009992;0,63844720;0,06115909
-5,00004992;0,63844720;0,06158635
-4,99999992;0,63844720;0,06158635
-4,99994992;0,63844720;0,06158635
-4,99989992;0,63844720;0,06173895
-4,99984992;0,63844720;0,06158635
-4,99979992;0,63844720;0,06115909
-4,99974992;0,63844720;0,06115909
-4,99969992;0,63844720;0,06103702
-4,99964992;0,63844720;0,06143376
-4,99959992;0,64943390;0,06158635
-4,99954992;0,64943390;0,06201361
-4,99949992;0,64943390;0,06103702
-4,99944992;0,64943390;0,06048769
-4,99939992;0,64943390;0,06060976
-4,99934992;0,64943390;0,06033509
-4,99929992;0,67140720;0,05978576
-4,99924992;0,66042050;0,06006043
-4,99919992;0,66042050;0,05978576
-4,99914992;0,66042050;0,05951110
-4,99909992;0,66042050;0,05951110
-4,99904992;0,66042050;0,05951110
-4,99899992;0,66042050;0,05938902
-4,99894992;0,66042050;0,05911435
-4,99889992;0,66042050;0,05896176
-4,99884992;0,66042050;0,05938902
-4,99879992;0,66042050;0,05938902
-4,99874992;0,66042050;0,05993835
-4,99869992;0,66042050;0,06006043
-4,99864992;0,66042050;0,06048769
-4,99859992;0,66042050;0,06076235
-4,99854992;0,66042050;0,06060976
-4,99849992;0,66042050;0,06033509
-4,99844992;0,67140720;0,06048769
-4,99839992;0,66042050;0,06060976
-4,99834992;0,66042050;0,06033509
-4,99829992;0,66042050;0,06088443
-4,99824992;0,66042050;0,06076235
-4,99819992;0,66042050;0,06241035
-4,99814992;0,66042050;0,06228828
-4,99809992;0,66042050;0,06201361
-4,99804992;0,66042050;0,06186102
-4,99799992;0,66042050;0,06213569
-4,99794992;0,66042050;0,06228828
-4,99789992;0,66042050;0,06131168
-4,99784992;0,66042050;0,06131168
-4,99779992;0,66042050;0,06173895
-4,99774992;0,66042050;0,06131168
-4,99769992;0,66042050;0,06173895
-4,99764992;0,66042050;0,06186102
-4,99759992;0,67140720;0,06213569
-4,99754992;0,67140720;0,06131168
-4,99749992;0,67140720;0,06103702
-4,99744992;0,67140720;0,06088443
-4,99739992;0,67140720;0,06131168
-4,99734992;0,67140720;0,06143376
-4,99729992;0,67140720;0,06173895
-4,99724992;0,67140720;0,06076235
-4,99719992;0,67140720;0,06076235
-4,99714992;0,67140720;0,06076235
-4,99709992;0,67140720;0,05978576
-4,99704992;0,67140720;0,05896176
-4,99699992;1,29398500;0,05896176
-4,99694992;1,94952200;0,05951110
-4,99689992;2,59468400;0,06006043
-4,99684992;3,25022100;0,06006043
-4,99679992;3,89477200;0,06006043
-4,99674992;4,55031000;0,06006043
-4,99669992;5,19547100;0,05993835
-4,99664992;5,84002200;0,06033509
-4,99659992;6,48457300;0,06088443
-4,99654992;7,14011000;0,06088443
-4,99649992;7,79625800;0,06115909
-4,99644992;8,44080900;0,06143376
-4,99639992;9,09634700;0,06143376
-4,99634992;9,75188400;0,06115909
-4,99629992;10,40742000;0,06143376
-4,99624992;11,06357000;0,06131168
-4,99619992;11,09592000;0,06173895
-4,99614992;11,09592000;0,06228828
