Tiempo;Canal A;Canal B
(ms);(V);(mV)

-500,98348383;0,67140720;6,86666400
-500,65580383;0,67140720;6,75985000
-500,32812383;0,67140720;6,86666400
-500,00044383;0,67140720;6,86666400
-499,67276384;0,67140720;6,91244200
-499,34508384;0,67140720;7,01925700
-499,01740384;0,67140720;6,94296000
-498,68972384;0,67140720;7,01925700
-498,36204384;0,67140720;7,17184900
-498,03436385;0,67140720;7,53807100
-497,70668385;0,67140720;7,44651600
-497,37900385;0,67140720;7,58384900
-497,05132385;0,67140720;7,58384900
-496,72364385;0,67140720;7,76696000
-496,39596386;0,67140720;7,82799700
-496,06828386;0,67140720;7,98059000
-495,74060386;0,67140720;8,01110700
-495,41292386;0,67140720;8,01110700
-495,08524386;0,67140720;8,05688600
-494,75756387;0,67140720;8,11792300
-494,42988387;0,67140720;7,99584900
-494,10220387;0,67140720;7,87377500
-493,77452387;0,67140720;7,81273800
-493,44684387;0,67140720;7,79747900
-493,11916388;0,67140720;7,79747900
-492,79148388;0,67140720;7,93481200
-492,46380388;0,67140720;7,99584900
-492,13612388;0,67140720;8,08740400
-491,80844388;0,67140720;8,08740400
-491,48076389;0,67140720;8,20947800
-491,15308389;0,67140720;8,27051500
-490,82540389;0,67140720;8,51466400
-490,49772389;0,67140720;8,62147800
-490,17004389;0,67140720;8,66725600
-489,84236390;0,67140720;8,60621900
-489,51468390;0,67140720;8,68251500
-489,18700390;0,67140720;8,72829300
-488,85932390;0,67140720;8,65199800
-488,53164390;0,67140720;8,65199800
-488,20396391;0,67140720;8,81984900
-487,87628391;0,67140720;8,97244200
-487,54860391;0,67140720;9,00296000
-487,22092391;0,67140720;9,04873700
-486,89324391;0,67140720;9,09451500
-486,56556392;0,64943390;9,20133000
-486,23788392;0,64943390;9,12503300
-485,91020392;0,64943390;9,18607000
-485,58252392;0,64943390;9,29288500
-485,25484392;0,64943390;9,49125600
-484,92716393;0,64943390;9,70488500
-484,59948393;0,64943390;9,88799700
-484,27180393;0,64943390;9,99481200
-483,94412393;0,67140720;10,10163000
-483,61644393;0,67140720;10,19318000
-483,28876393;0,67140720;10,11689000
-482,96108394;0,67140720;10,26948000
-482,63340394;0,67140720;10,26948000
-482,30572394;0,67140720;10,36103000
-481,97804394;0,67140720;10,39155000
-481,65036394;0,67140720;10,39155000
-481,32268395;0,67140720;10,46785000
-480,99500395;0,67140720;10,52888000
-480,66732395;0,67140720;10,77303000
-480,33964395;0,67140720;10,57466000
-480,01196395;0,67140720;10,62044000
-479,68428396;0,67140720;10,77303000
-479,35660396;0,67140720;10,78829000
-479,02892396;0,67140720;10,83407000
-478,70124396;0,64943390;11,00192000
-478,37356396;0,64943390;11,13926000
-478,04588397;0,62746050;11,41392000
-477,71820397;0,62746050;11,61229000
-477,39052397;0,62746050;11,81066000
-477,06284397;0,62746050;11,96325000
-476,73516397;0,62746050;12,10059000
-476,40748398;0,62746050;12,26844000
-476,07980398;0,64943390;12,36000000
-475,75212398;0,64943390;12,10059000
-475,42444398;0,67140720;12,22266000
-475,09676398;0,67140720;12,34474000
-474,76908399;0,67140720;12,37526000
-474,44140399;0,67140720;12,46681000
-474,11372399;0,64943390;12,54311000
-473,78604399;0,64943390;12,54311000
-473,45836399;0,64943390;12,43629000
-473,13068400;0,64943390;12,48207000
-472,80300400;0,64943390;12,46681000
-472,47532400;0,64943390;12,17688000
-472,14764400;0,64943390;12,13111000
-471,81996400;0,64943390;12,16162000
-471,49228401;0,67140720;12,29896000
-471,16460401;0,67140720;12,42103000
-470,83692401;0,67140720;12,40577000
-470,50924401;0,67140720;12,51259000
-470,18156401;0,67140720;12,46681000
-469,85388402;0,67140720;12,40577000
-469,52620402;0,67140720;12,54311000
-469,19852402;0,67140720;12,54311000
-468,87084402;0,67140720;12,40577000
-468,54316402;0,67140720;12,36000000
-468,21548403;0,67140720;12,23792000
-467,88780403;0,67140720;12,25318000
-467,56012403;0,67140720;12,29896000
-467,23244403;0,67140720;12,57363000
-466,90476403;0,67140720;12,66518000
-466,57708404;1,98248200;12,48207000
-466,24940404;3,29355800;12,48207000
-465,92172404;4,60524300;12,20740000
-465,59404404;5,91631800;12,25318000
-465,26636404;7,22739400;12,28370000
-464,93868405;8,51710600;12,28370000
-464,61100405;9,82818000;12,25318000
-464,28332405;11,11789000;12,28370000
-463,95564405;11,09592000;12,25318000
-463,62796405;11,09592000;12,22266000
-463,30028406;11,09592000;12,23792000
-462,97260406;11,09592000;12,20740000
-462,64492406;11,09592000;12,13111000
-462,31724406;11,11789000;13,47392000
-461,98956406;11,09592000;13,44340000
-461,66188407;11,11789000;13,39762000
-461,33420407;11,11789000;13,39762000
-461,00652407;11,11789000;13,16874000
-460,67884407;11,11789000;13,18400000
-460,35116407;11,11789000;13,29081000
-460,02348408;11,11789000;13,36711000
-459,69580408;11,09592000;13,21451000
-459,36812408;11,09592000;13,27555000
-459,04044408;11,09592000;13,15348000
-458,71276408;11,11789000;13,18400000
-458,38508409;11,11789000;13,15348000
-458,05740409;11,09592000;13,15348000
-457,72972409;11,09592000;13,39762000
-457,40204409;11,07456000;13,41288000
-457,07436409;11,09592000;13,42814000
-456,74668410;11,11789000;13,55022000
-456,41900410;11,09592000;13,47392000
-456,09132410;11,07456000;13,29081000
-455,76364410;11,05258000;13,16874000
-455,43596410;11,07456000;13,13822000
-455,10828411;11,05258000;13,13822000
-454,78060411;11,05258000;12,83303000
-454,45292411;11,05258000;12,89407000
-454,12524411;11,03061000;12,83303000
-453,79756411;11,03061000;12,64992000
-453,46988412;11,05258000;12,66518000
-453,14220412;11,07456000;12,60414000
-452,81452412;11,05258000;12,74148000
-452,48684412;11,07456000;12,77199000
-452,15916412;11,07456000;12,87881000
-451,83148413;11,07456000;12,97037000
-451,50380413;11,07456000;13,03140000
-451,17612413;11,09592000;13,07718000
-450,84844413;11,09592000;12,93985000
-450,52076413;11,09592000;12,92459000
-450,19308414;11,09592000;12,92459000
-449,86540414;11,09592000;12,68044000
-449,53772414;11,11789000;12,57363000
-449,21004414;11,11789000;12,54311000
-448,88236414;11,13987000;12,26844000
-448,55468415;11,11789000;12,13111000
-448,22700415;11,09592000;12,11585000
-447,89932415;11,09592000;12,22266000
-447,57164415;11,11789000;12,20740000
-447,24396415;11,11789000;12,20740000
-446,91628416;11,11789000;12,16162000
-446,58860416;11,11789000;12,17688000
-446,26092416;11,09592000;12,17688000
-445,93324416;11,11789000;12,02429000
-445,60556416;11,13987000;11,99377000
-445,27788417;11,11789000;11,94800000
-444,95020417;11,11789000;11,76488000
-444,62252417;11,11789000;11,58177000
-444,29484417;11,09592000;11,50548000
-443,96716417;11,09592000;11,61229000
-443,63948418;11,09592000;11,62755000
-443,31180418;11,07456000;11,61229000
-442,98412418;11,05258000;11,70385000
-442,65644418;11,07456000;11,81066000
-442,32876418;11,07456000;11,76488000
-442,00108419;11,05258000;11,96325000
-441,67340419;11,05258000;11,99377000
-441,34572419;11,03061000;12,14637000
-441,01804419;11,05258000;12,23792000
-440,69036419;11,05258000;12,26844000
-440,36268420;11,07456000;12,40577000
-440,03500420;11,05258000;12,39051000
-439,70732420;11,05258000;12,42103000
-439,37964420;11,07456000;12,57363000
-439,05196420;11,07456000;12,60414000
-438,72428421;11,09592000;12,61940000
-438,39660421;11,09592000;12,25318000
-438,06892421;11,11789000;12,07007000
-437,74124421;11,11789000;12,03955000
-437,41356421;11,13987000;11,88696000
-437,08588422;11,13987000;11,90222000
-436,75820422;11,11789000;11,79540000
-436,43052422;11,13987000;11,79540000
-436,10284422;11,11789000;11,62755000
-435,77516422;11,11789000;11,53600000
