Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,02085594;0,67140720;16,89199000
-500,69317594;0,67140720;16,70888000
-500,36549594;0,67140720;16,60207000
-500,03781595;0,67140720;17,16666000
-499,71013595;0,67140720;17,13614000
-499,38245595;0,67140720;17,02933000
-499,05477595;0,67140720;16,84622000
-498,72709595;0,67140720;16,83096000
-498,39941596;0,67140720;16,73940000
-498,07173596;0,67140720;16,63259000
-497,74405596;0,67140720;16,61733000
-497,41637596;0,67140720;16,51051000
-497,08869596;0,67140720;16,47999000
-496,76101597;0,67140720;16,23585000
-496,43333597;0,67140720;16,09851000
-496,10565597;0,67140720;16,03748000
-495,77797597;0,67140720;15,85437000
-495,45029597;0,67140720;15,83911000
-495,12261598;0,67140720;15,59496000
-494,79493598;0,67140720;15,50340000
-494,46725598;0,64943390;15,41185000
-494,13957598;0,64943390;15,22873000
-493,81189598;0,64943390;15,15244000
-493,48421599;0,64943390;14,96933000
-493,15653599;0,64943390;14,77096000
-492,82885599;0,64943390;14,52681000
-492,50117599;0,64943390;14,61837000
-492,17349599;0,64943390;14,37422000
-491,84581600;0,67140720;14,23688000
-491,51813600;0,67140720;14,00799000
-491,19045600;0,67140720;13,84014000
-490,86277600;0,67140720;13,71807000
-490,53509600;0,67140720;13,61125000
-490,20741601;0,67140720;13,41288000
-489,87973601;0,67140720;13,42814000
-489,55205601;0,67140720;13,30607000
-489,22437601;0,67140720;13,13822000
-488,89669601;0,67140720;13,16874000
-488,56901602;0,67140720;13,04666000
-488,24133602;0,67140720;12,81777000
-487,91365602;0,67140720;12,63466000
-487,58597602;0,67140720;12,49733000
-487,25829602;0,67140720;12,39051000
-486,93061603;0,67140720;12,08533000
-486,60293603;0,67140720;11,79540000
-486,27525603;0,67140720;11,62755000
-485,94757603;0,67140720;11,41392000
-485,61989603;0,67140720;11,20029000
-485,29221604;0,67140720;11,00192000
-484,96453604;0,67140720;10,97140000
-484,63685604;0,67140720;10,89511000
-484,30917604;0,67140720;10,68148000
-483,98149604;0,67140720;10,55940000
-483,65381605;0,64943390;10,48311000
-483,32613605;0,64943390;10,20844000
-482,99845605;0,64943390;9,87273800
-482,67077605;0,64943390;9,68962700
-482,34309605;0,64943390;9,46073700
-482,01541606;0,64943390;9,32340400
-481,68773606;0,64943390;9,18607000
-481,36005606;0,64943390;9,12503300
-481,03237606;0,67140720;8,91140500
-480,70469606;0,67140720;8,74355200
-480,37701607;0,67140720;8,62147800
-480,04933607;0,67140720;8,33155300
-479,72165607;0,67140720;8,08740400
-479,39397607;0,67140720;8,07214500
-479,06629607;0,67140720;7,99584900
-478,73861608;0,67140720;7,85851600
-478,41093608;0,67140720;7,72118200
-478,08325608;0,67140720;7,47703500
-477,75557608;0,67140720;7,30918300
-477,42789608;0,67140720;7,20236800
-477,10021609;0,67140720;7,00399700
-476,77253609;0,67140720;6,94296000
-476,44485609;0,67140720;6,94296000
-476,11717609;0,67140720;6,54622000
-475,78949609;0,67140720;6,37836800
-475,46181610;0,67140720;6,14947900
-475,13413610;0,67140720;5,89007200
-474,80645610;0,67140720;5,96636800
-474,47877610;0,67140720;5,73747900
-474,15109610;0,67140720;5,64592400
-473,82341611;0,67140720;5,53910900
-473,49573611;0,67140720;5,46281300
-473,16805611;0,67140720;5,49333100
-472,84037611;0,67140720;5,31022000
-472,51269611;0,67140720;5,14236800
-472,18501611;0,67140720;4,79140600
-471,85733612;0,67140720;4,60829400
-471,52965612;0,67140720;4,42518400
-471,20197612;0,67140720;4,24207300
-470,87429612;0,67140720;3,98266500
-470,54661612;0,67140720;3,84533200
-470,21893613;0,67140720;3,52488800
-469,89125613;0,67140720;3,29599900
-469,56357613;0,64943390;3,12814700
-469,23589613;0,64943390;2,76192500
-468,90821613;0,64943390;2,57881400
-468,58053614;0,64943390;2,41096200
-468,25285614;0,64943390;2,05999900
-467,92517614;0,64943390;1,84637000
-467,59749614;0,64943390;1,44962900
-467,26981614;0,64943390;1,12918500
-466,94213615;0,67140720;0,97659220
-466,61445615;0,67140720;0,91555520
-466,28677615;0,67140720;0,83925900
-465,95909615;0,67140720;0,68666640
-465,63141615;0,67140720;0,45777760
-465,30373616;0,67140720;0,06103702
-464,97605616;0,67140720;-0,12207400
-464,64837616;0,67140720;-0,30518510
-464,32069616;0,67140720;-0,56459240
-463,99301616;0,64943390;-0,79348120
-463,66533617;0,64943390;-0,96133300
-463,33765617;0,64943390;-1,17496300
-463,00997617;0,64943390;-1,54118500
-462,68229617;0,64943390;-1,63274000
-462,35461617;0,64943390;-1,84637000
-462,02693618;0,64943390;-2,01422100
-461,69925618;0,64943390;-2,21259200
-461,37157618;0,67140720;-2,27362900
-461,04389618;0,67140720;-2,33466600
-460,71621618;0,67140720;-2,44148100
-460,38853619;0,67140720;-2,33466600
-460,06085619;0,67140720;-2,45674000
-459,73317619;0,67140720;-2,56355500
-459,40549619;0,67140720;-2,53303600
-459,07781619;0,67140720;-2,57881400
-458,75013620;0,67140720;-2,80770300
-458,42245620;0,67140720;-2,86874000
-458,09477620;0,64943390;-2,99081400
-457,76709620;0,64943390;-3,09762900
-457,43941620;0,64943390;-3,00607300
-457,11173621;0,64943390;-3,18918400
-456,78405621;0,64943390;-3,28074000
-456,45637621;0,64943390;-3,47911000
-456,12869621;0,64943390;-3,81481300
-455,80101621;0,64943390;-3,99792500
-455,47333622;0,67140720;-4,16577600
-455,14565622;0,67140720;-4,45570200
-454,81797622;0,67140720;-4,68459100
-454,49029622;0,67140720;-5,26444200
-454,16261622;0,67140720;-5,47807200
-453,83493623;0,67140720;-5,66118300
-453,50725623;0,67140720;-5,95110900
-453,17957623;0,67140720;-6,24103500
-452,85189623;0,67140720;-6,43940500
-452,52421623;0,67140720;-6,48518300
-452,19653624;0,67140720;-6,68355300
-451,86885624;0,67140720;-7,09555300
-451,54117624;0,67140720;-7,15659000
-451,21349624;0,67140720;-7,27866400
-450,88581624;0,67140720;-7,38547900
-450,55813625;0,67140720;-7,47703500
-450,23045625;0,67140720;-7,40073800
-449,90277625;0,67140720;-7,53807100
-449,57509625;0,67140720;-7,37022000
-449,24741625;0,67140720;-7,55333000
-448,91973626;0,67140720;-7,87377500
-448,59205626;0,67140720;-8,02636700
-448,26437626;0,67140720;-8,08740400
-447,93669626;0,67140720;-8,04162700
-447,60901626;0,67140720;-8,11792300
-447,28133627;0,67140720;-8,34681200
-446,95365627;0,67140720;-8,39259000
-446,62597627;0,67140720;-8,46888600
-446,29829627;0,67140720;-8,46888600
-445,97061627;0,67140720;-8,66725600
-445,64293628;0,67140720;-8,75881200
-445,31525628;0,67140720;-9,07925600
-444,98757628;0,67140720;-9,24710800
-444,65989628;0,67140720;-9,29288500
-444,33221628;0,67140720;-9,52177400
-444,00453629;0,67140720;-9,65910700
-443,67685629;0,67140720;-9,58281100
-443,34917629;0,67140720;-9,59807000
-443,02149629;0,67140720;-9,79644100
-442,69381629;0,67140720;-9,93377500
-442,36613630;0,67140720;-10,20844000
-442,03845630;0,67140720;-10,33051000
-441,71077630;0,67140720;-10,45259000
-441,38309630;0,67140720;-10,52888000
-441,05541630;0,67140720;-10,81881000
-440,72773631;0,67140720;-10,89511000
-440,40005631;0,67140720;-11,00192000
-440,07237631;0,67140720;-11,06296000
-439,74469631;0,67140720;-11,23081000
-439,41701631;0,67140720;-11,32237000
-439,08933632;0,67140720;-11,24607000
-438,76165632;0,67140720;-11,23081000
-438,43397632;0,67140720;-11,36814000
-438,10629632;0,67140720;-11,35289000
-437,77861632;0,67140720;-11,39866000
-437,45093633;0,67140720;-11,50548000
-437,12325633;0,67140720;-11,36814000
