Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,02270368;0,64943390;-3,26548000
-500,69502369;0,62746050;-3,06711000
-500,36734369;0,62746050;-2,18207300
-500,03966369;0,62746050;-1,96844400
-499,71198369;0,62746050;-1,67851800
-499,38430369;0,62746050;-1,26651800
-499,05662370;0,62746050;-1,05288900
-498,72894370;0,62746050;-0,45777760
-498,40126370;0,64943390;-0,16785180
-498,07358370;0,67140720;-0,01525925
-497,74590370;0,67140720;0,04577776
-497,41822371;0,67140720;0,32044430
-497,09054371;0,67140720;0,45777760
-496,76286371;0,67140720;0,47303690
-496,43518371;0,67140720;0,79348120
-496,10750371;0,67140720;0,94607370
-495,77982372;0,67140720;1,15970300
-495,45214372;0,67140720;1,29703700
-495,12446372;0,67140720;1,26651800
-494,79678372;0,67140720;1,28177700
-494,46910372;0,67140720;1,58696200
-494,14142373;0,67140720;1,60222200
-493,81374373;0,67140720;1,73955500
-493,48606373;0,67140720;1,96844400
-493,15838373;0,67140720;2,25836900
-492,83070373;0,67140720;2,39570300
-492,50302374;0,67140720;2,60933200
-492,17534374;0,67140720;2,79244400
-491,84766374;0,67140720;3,12814700
-491,51998374;0,67140720;3,15866500
-491,19230374;0,67140720;3,34177700
-490,86462375;0,67140720;3,43333200
-490,53694375;0,67140720;3,61644300
-490,20926375;0,67140720;4,31836900
-489,88158375;0,64943390;4,45570200
-489,55390375;0,64943390;4,65407200
-489,22622376;0,64943390;5,05081300
-488,89854376;0,64943390;5,09659100
-488,57086376;0,64943390;5,38651700
-488,24318376;0,64943390;5,53910900
-487,91550376;0,64943390;5,63066500
-487,58782377;0,64943390;6,08844200
-487,26014377;0,67140720;5,87481300
-486,93246377;0,67140720;5,99688700
-486,60478377;0,67140720;6,16473900
-486,27710377;0,64943390;6,39362700
-485,94942378;0,62746050;6,53096100
-485,62174378;0,62746050;6,72933100
-485,29406378;0,62746050;6,86666400
-484,96638378;0,62746050;7,04977500
-484,63870378;0,62746050;7,18710900
-484,31102379;0,62746050;7,15659000
-483,98334379;0,62746050;7,33970100
-483,65566379;0,64943390;7,75170100
-483,32798379;0,67140720;8,10266400
-483,00030379;0,67140720;8,10266400
-482,67262380;0,67140720;8,20947800
-482,34494380;0,67140720;8,28577500
-482,01726380;0,67140720;8,30103400
-481,68958380;0,67140720;8,54518200
-481,36190380;0,67140720;8,74355200
-481,03422381;0,67140720;8,95718300
-480,70654381;0,67140720;8,89614600
-480,37886381;0,67140720;9,09451500
-480,05118381;0,67140720;9,15555200
-479,72350381;0,67140720;9,29288500
-479,39582382;0,67140720;9,41495900
-479,06814382;0,67140720;9,62859000
-478,74046382;0,67140720;9,84221800
-478,41278382;0,67140720;10,02533000
-478,08510382;0,67140720;10,07111000
-477,75742383;0,67140720;10,14740000
-477,42974383;0,67140720;10,19318000
-477,10206383;0,67140720;10,28474000
-476,77438383;0,67140720;10,48311000
-476,44670383;0,67140720;11,68859000
-476,11902384;0,67140720;11,93274000
-475,79134384;0,67140720;11,30711000
-475,46366384;0,67140720;11,41392000
-475,13598384;0,67140720;11,64281000
-474,80830384;0,67140720;11,88696000
-474,48062385;0,67140720;11,62755000
-474,15294385;0,67140720;11,76488000
-473,82526385;0,67140720;12,03955000
-473,49758385;0,64943390;12,34474000
-473,16990385;0,64943390;12,48207000
-472,84222385;0,64943390;12,75674000
-472,51454386;0,62746050;12,86355000
-472,18686386;0,62746050;13,04666000
-471,85918386;0,62746050;13,18400000
-471,53150386;0,62746050;13,33659000
-471,20382386;0,62746050;13,56548000
-470,87614387;0,64943390;13,74859000
-470,54846387;0,64943390;13,84014000
-470,22078387;0,64943390;14,06903000
-469,89310387;0,67140720;14,14533000
-469,56542387;0,67140720;14,17585000
-469,23774388;0,67140720;14,31318000
-468,91006388;0,67140720;14,43525000
-468,58238388;0,67140720;14,52681000
-468,25470388;0,67140720;14,90829000
-467,92702388;0,67140720;14,52681000
-467,59934389;0,67140720;14,77096000
-467,27166389;0,67140720;14,99985000
-466,94398389;0,67140720;15,10666000
-466,61630389;0,67140720;15,27451000
-466,28862389;0,67140720;15,56444000
-465,96094390;0,67140720;15,67125000
-465,63326390;0,67140720;15,77807000
-465,30558390;0,64943390;15,88488000
-464,97790390;0,64943390;15,96118000
-464,65022390;0,64943390;16,15955000
-464,32254391;0,64943390;16,28162000
-463,99486391;0,64943390;16,37318000
-463,66718391;0,64943390;16,51051000
-463,33950391;0,64943390;16,70888000
-463,01182391;0,64943390;17,02933000
-462,68414392;0,67140720;17,01407000
-462,35646392;0,64943390;17,21244000
-462,02878392;0,64943390;17,19718000
-461,70110392;0,64943390;17,27348000
-461,37342392;0,64943390;17,24296000
-461,04574393;0,64943390;17,38029000
-460,71806393;0,64943390;17,48710000
-460,39038393;0,64943390;17,68548000
-460,06270393;0,64943390;17,86859000
-459,73502393;0,67140720;18,26533000
-459,40734394;0,67140720;18,23481000
-459,07966394;0,67140720;18,25007000
-458,75198394;0,67140720;18,25007000
-458,42430394;0,67140720;18,55525000
-458,09662394;0,67140720;18,76888000
-457,76894395;0,67140720;19,25718000
-457,44126395;0,67140720;19,86755000
-457,11358395;0,67140720;19,98962000
-456,78590395;0,67140720;20,05066000
-456,45822395;0,67140720;20,14222000
-456,13054396;0,67140720;20,27955000
-455,80286396;0,67140720;20,37111000
-455,47518396;0,67140720;20,53895000
-455,14750396;0,67140720;20,29481000
-454,81982396;0,67140720;20,32533000
-454,49214397;0,67140720;20,21851000
-454,16446397;0,67140720;20,15747000
-453,83678397;0,67140720;20,29481000
-453,50910397;0,67140720;20,41688000
-453,18142397;0,67140720;20,55421000
-452,85374398;0,67140720;20,61525000
-452,52606398;0,67140720;20,66103000
-452,19838398;0,67140720;20,76784000
-451,87070398;0,67140720;20,88992000
-451,54302398;0,67140720;20,93570000
-451,21534399;0,67140720;21,11881000
-450,88766399;0,67140720;21,16459000
-450,55998399;0,67140720;21,21036000
-450,23230399;0,67140720;21,65288000
-449,90462399;0,67140720;21,63762000
-449,57694400;0,67140720;21,74444000
-449,24926400;0,67140720;21,95807000
-448,92158400;0,67140720;22,00384000
-448,59390400;0,67140720;22,12592000
-448,26622400;0,67140720;21,89703000
-447,93854401;0,67140720;21,98858000
-447,61086401;0,64943390;22,30903000
-447,28318401;0,64943390;22,21747000
-446,95550401;1,96050900;22,55318000
-446,62782401;3,27219500;22,62947000
-446,30014402;4,58327000;22,82784000
-445,97246402;5,89434500;22,94992000
-445,64478402;7,18405700;22,84310000
-445,31710402;8,49513200;22,91940000
-444,98942402;9,82818000;22,96518000
-444,66174403;11,13987000;23,05673000
-444,33406403;11,13987000;23,17881000
-444,00638403;11,13987000;23,28562000
-443,67870403;11,13987000;23,39244000
-443,35102403;11,13987000;23,42295000
-443,02334404;11,16184000;23,45347000
-442,69566404;11,13987000;23,51451000
-442,36798404;11,11789000;23,77392000
-442,04030404;11,09592000;23,78918000
-441,71262404;11,07456000;23,81969000
-441,38494405;11,07456000;23,85021000
-441,05726405;11,05258000;23,88073000
-440,72958405;11,03061000;23,97229000
-440,40190405;11,03061000;24,00281000
-440,07422405;11,03061000;24,09436000
-439,74654406;11,03061000;24,04858000
-439,41886406;11,03061000;24,14014000
-439,09118406;11,03061000;24,23170000
-438,76350406;11,00864000;24,50636000
-438,43582406;11,03061000;24,55214000
-438,10814407;11,05258000;24,73525000
-437,78046407;11,05258000;24,81155000
-437,45278407;11,05258000;24,79629000
-437,12510407;11,07456000;24,85732000
-436,79742407;11,09592000;24,84207000
-436,46974408;11,09592000;24,91836000
-436,14206408;11,09592000;24,94888000
-435,81438408;11,09592000;24,94888000
