Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,02270368;0,67140720;-17,62444000
-500,69502369;0,67140720;-17,67022000
-500,36734369;0,67140720;-17,89911000
-500,03966369;0,67140720;-17,86859000
-499,71198369;0,67140720;-18,02118000
-499,38430369;0,67140720;-18,05170000
-499,05662370;0,67140720;-17,89911000
-498,72894370;0,64943390;-17,82281000
-498,40126370;0,64943390;-17,82281000
-498,07358370;0,64943390;-17,76177000
-497,74590370;0,62746050;-17,77703000
-497,41822371;0,62746050;-17,79229000
-497,09054371;0,62746050;-17,80755000
-496,76286371;0,62746050;-17,92962000
-496,43518371;0,62746050;-17,89911000
-496,10750371;0,64943390;-17,92962000
-495,77982372;0,64943390;-17,92962000
-495,45214372;0,64943390;-17,65496000
-495,12446372;0,67140720;-17,80755000
-494,79678372;0,67140720;-17,96014000
-494,46910372;0,67140720;-17,94488000
-494,14142373;0,67140720;-17,79229000
-493,81374373;0,67140720;-17,65496000
-493,48606373;0,67140720;-17,54814000
-493,15838373;0,67140720;-17,48710000
-492,83070373;0,67140720;-17,34977000
-492,50302374;0,67140720;-17,30400000
-492,17534374;0,67140720;-17,27348000
-491,84766374;0,67140720;-17,33451000
-491,51998374;0,67140720;-17,34977000
-491,19230374;0,67140720;-17,39555000
-490,86462375;0,67140720;-17,39555000
-490,53694375;0,67140720;-17,38029000
-490,20926375;0,64943390;-17,10562000
-489,88158375;0,64943390;-17,01407000
-489,55390375;0,64943390;-16,90725000
-489,22622376;0,64943390;-17,54814000
-488,89854376;0,64943390;-17,41081000
-488,57086376;0,64943390;-17,42607000
-488,24318376;0,64943390;-17,44133000
-487,91550376;0,64943390;-17,44133000
-487,58782377;0,67140720;-17,42607000
-487,26014377;0,67140720;-17,25822000
-486,93246377;0,67140720;-17,41081000
-486,60478377;0,67140720;-17,21244000
-486,27710377;0,67140720;-16,81570000
-485,94942378;0,67140720;-16,63259000
-485,62174378;0,64943390;-16,55629000
-485,29406378;0,64943390;-16,49525000
-484,96638378;0,64943390;-16,52577000
-484,63870378;0,64943390;-16,40370000
-484,31102379;0,64943390;-16,22059000
-483,98334379;0,64943390;-16,29688000
-483,65566379;0,64943390;-16,41896000
-483,32798379;0,64943390;-16,41896000
-483,00030379;0,67140720;-16,80044000
-482,67262380;0,67140720;-16,72414000
-482,34494380;0,67140720;-16,58681000
-482,01726380;0,67140720;-16,54103000
-481,68958380;0,67140720;-16,46474000
-481,36190380;0,67140720;-16,35792000
-481,03422381;0,67140720;-16,29688000
-480,70654381;0,67140720;-15,94592000
-480,37886381;0,67140720;-16,08325000
-480,05118381;0,67140720;-15,86962000
-479,72350381;0,67140720;-15,64073000
-479,39582382;0,67140720;-15,53392000
-479,06814382;0,67140720;-15,35081000
-478,74046382;0,67140720;-15,28977000
-478,41278382;0,67140720;-15,19822000
-478,08510382;0,67140720;-15,19822000
-477,75742383;0,67140720;-15,12192000
-477,42974383;0,67140720;-15,28977000
-477,10206383;0,67140720;-15,22873000
-476,77438383;0,67140720;-15,13718000
-476,44670383;0,67140720;-15,30503000
-476,11902384;0,67140720;-15,30503000
-475,79134384;0,67140720;-15,24399000
-475,46366384;0,67140720;-15,27451000
-475,13598384;0,67140720;-15,27451000
-474,80830384;0,64943390;-15,24399000
-474,48062385;0,64943390;-15,33555000
-474,15294385;0,64943390;-15,28977000
-473,82526385;0,64943390;-15,50340000
-473,49758385;0,64943390;-15,53392000
-473,16990385;0,64943390;-15,65599000
-472,84222385;0,64943390;-15,51866000
-472,51454386;0,64943390;-15,54918000
-472,18686386;0,67140720;-15,41185000
-471,85918386;0,67140720;-15,68651000
-471,53150386;0,67140720;-15,62548000
-471,20382386;0,67140720;-15,48814000
-470,87614387;0,67140720;-15,64073000
-470,54846387;0,67140720;-15,56444000
-470,22078387;0,67140720;-15,62548000
-469,89310387;0,67140720;-15,59496000
-469,56542387;0,67140720;-15,64073000
-469,23774388;0,67140720;-15,48814000
-468,91006388;0,67140720;-15,21348000
-468,58238388;0,67140720;-15,07614000
-468,25470388;0,67140720;-14,74044000
-467,92702388;0,67140720;-14,69466000
-467,59934389;0,67140720;-14,52681000
-467,27166389;0,67140720;-14,58785000
-466,94398389;0,67140720;-14,45051000
-466,61630389;0,67140720;-14,14533000
-466,28862389;0,67140720;-14,05377000
-465,96094390;0,67140720;-13,91644000
-465,63326390;0,67140720;-13,90118000
-465,30558390;0,67140720;-13,87066000
-464,97790390;0,67140720;-13,82488000
-464,65022390;0,67140720;-13,74859000
-464,32254391;0,67140720;-13,80962000
-463,99486391;0,67140720;-13,76385000
-463,66718391;0,67140720;-13,87066000
-463,33950391;0,67140720;-13,79437000
-463,01182391;0,67140720;-13,74859000
-462,68414392;0,67140720;-13,85540000
-462,35646392;0,67140720;-13,85540000
-462,02878392;0,67140720;-13,87066000
-461,70110392;0,67140720;-13,74859000
-461,37342392;0,67140720;-13,76385000
-461,04574393;0,67140720;-13,79437000
-460,71806393;0,67140720;-13,32133000
-460,39038393;0,67140720;-13,16874000
-460,06270393;0,67140720;-12,81777000
-459,73502393;0,67140720;-12,68044000
-459,40734394;0,67140720;-12,48207000
-459,07966394;0,67140720;-12,39051000
-458,75198394;0,64943390;-12,14637000
-458,42430394;0,64943390;-12,00903000
-458,09662394;0,64943390;-11,82592000
-457,76894395;0,64943390;-11,55125000
-457,44126395;0,64943390;-11,41392000
-457,11358395;0,64943390;-11,23081000
-456,78590395;0,64943390;-11,07822000
-456,45822395;0,64943390;-11,00192000
-456,13054396;0,67140720;-10,95614000
-455,80286396;0,67140720;-10,94088000
-455,47518396;0,67140720;-10,98666000
-455,14750396;0,67140720;-10,95614000
-454,81982396;0,64943390;-11,00192000
-454,49214397;0,64943390;-10,95614000
-454,16446397;0,64943390;-11,01718000
-453,83678397;0,64943390;-10,92563000
-453,50910397;0,64943390;-10,83407000
-453,18142397;0,64943390;-10,92563000
-452,85374398;0,64943390;-11,06296000
-452,52606398;0,64943390;-11,06296000
-452,19838398;0,67140720;-11,03244000
-451,87070398;0,67140720;-11,03244000
-451,54302398;0,67140720;-10,98666000
-451,21534399;0,67140720;-10,81881000
-450,88766399;0,67140720;-10,71200000
-450,55998399;0,67140720;-10,57466000
-450,23230399;0,67140720;-10,39155000
-449,90462399;0,67140720;-10,16266000
-449,57694400;0,67140720;-9,94903400
-449,24926400;0,67140720;-9,90325500
-448,92158400;0,67140720;-9,78118100
-448,59390400;0,67140720;-9,50651600
-448,26622400;0,67140720;-9,61333000
-447,93854401;0,67140720;-9,50651600
-447,61086401;0,67140720;-9,61333000
-447,28318401;0,67140720;-9,53703300
-446,95550401;0,64943390;-9,46073700
-446,62782401;0,64943390;-9,21658900
-446,30014402;0,64943390;-9,12503300
-445,97246402;0,64943390;-9,29288500
-445,64478402;0,64943390;-9,36918200
-445,31710402;0,64943390;-9,38444100
-444,98942402;0,64943390;-9,24710800
-444,66174403;0,64943390;-9,14029300
-444,33406403;0,67140720;-9,07925600
-444,00638403;0,67140720;-8,75881200
-443,67870403;0,64943390;-8,65199800
-443,35102403;0,64943390;-8,57570100
-443,02334404;0,64943390;-8,57570100
-442,69566404;0,64943390;-8,46888600
-442,36798404;0,64943390;-8,54518200
-442,04030404;0,64943390;-8,60621900
-441,71262404;0,64943390;-8,59096100
-441,38494405;0,64943390;-8,52992300
-441,05726405;0,67140720;-8,42310800
-440,72958405;0,67140720;-8,19421900
-440,40190405;0,67140720;-7,98059000
-440,07422405;0,67140720;-8,02636700
-439,74654406;0,67140720;-8,02636700
-439,41886406;0,67140720;-7,98059000
-439,09118406;0,67140720;-7,93481200
