Tiempo;Canal A;Canal B
(ms);(V);(mV)

-500,77522520;0,65440840;-1,54118500
-500,44754520;0,65440840;-1,61748100
-500,11986520;0,65550710;-1,70903600
-499,79218520;0,65440840;-1,70903600
-499,46450521;0,65440840;-1,54118500
-499,13682521;0,65550710;-1,51066600
-498,80914521;0,65550710;-1,43437000
-498,48146521;0,65440840;-1,35807400
-498,15378521;0,65550710;-1,32755500
-497,82610522;0,65550710;-1,54118500
-497,49842522;0,65550710;-1,31229600
-497,17074522;0,65773490;-1,12918500
-496,84306522;0,65663620;-1,08340700
-496,51538522;0,65663620;-1,05288900
-496,18770523;0,65663620;-1,11392600
-495,86002523;0,65663620;-1,05288900
-495,53234523;0,65550710;-1,11392600
-495,20466523;0,65550710;-1,12918500
-494,87698523;0,65550710;-1,05288900
-494,54930524;0,65440840;-1,00711100
-494,22162524;0,65550710;-0,86977740
-493,89394524;0,65111240;-0,74770340
-493,56626524;0,65111240;-0,74770340
-493,23858524;0,65330970;-0,73244420
-492,91090525;0,65330970;-0,67140720
-492,58322525;0,65330970;-0,80874040
-492,25554525;0,65221110;-0,64088860
-491,92786525;0,65330970;-0,50355540
-491,60018525;0,65221110;-0,25940730
-491,27250526;0,65550710;0,00000000
-490,94482526;0,65550710;0,09155552
-490,61714526;0,65440840;0,12207400
-490,28946526;0,65550710;0,13733330
-489,96178526;0,65550710;0,09155552
-489,63410527;0,65663620;0,21362960
-489,30642527;0,65550710;0,36622210
-488,97874527;0,65550710;0,38148130
-488,65106527;0,65663620;0,41199990
-488,32338527;0,65663620;0,65614790
-487,99570528;0,65550710;0,74770340
-487,66802528;0,65440840;0,68666640
-487,34034528;0,65440840;0,83925900
-487,01266528;0,65330970;0,93081450
-486,68498528;0,65330970;0,88503670
-486,35730529;0,65330970;0,90029600
-486,02962529;0,65330970;0,86977740
-485,70194529;0,65330970;0,86977740
-485,37426529;0,65330970;0,83925900
-485,04658529;0,65440840;0,99185150
-484,71890530;0,65440840;1,03762900
-484,39122530;0,65550710;1,14444400
-484,06354530;0,65550710;1,67851800
-483,73586530;0,65550710;1,55644400
-483,40818530;0,65550710;1,55644400
-483,08050531;0,65440840;1,41911100
-482,75282531;0,65440840;1,40385100
-482,42514531;0,65440840;1,51066600
-482,09746531;0,65440840;1,64799900
-481,76978531;0,65440840;1,54118500
-481,44210532;0,65440840;1,60222200
-481,11442532;0,65550710;1,64799900
-480,78674532;0,65330970;1,54118500
-480,45906532;0,65440840;1,55644400
-480,13138532;0,65663620;1,69377700
-479,80370533;0,65663620;1,66325900
-479,47602533;0,65663620;1,67851800
-479,14834533;0,65550710;1,66325900
-478,82066533;0,65550710;1,72429600
-478,49298533;0,65440840;1,70903600
-478,16530534;0,65550710;1,70903600
-477,83762534;0,65550710;1,73955500
-477,50994534;0,65330970;1,57170300
-477,18226534;0,65221110;1,69377700
-476,85458534;0,65330970;1,61748100
-476,52690535;0,65221110;1,66325900
-476,19922535;0,65221110;1,58696200
-475,87154535;0,65330970;1,46488800
-475,54386535;0,65330970;1,51066600
-475,21618535;0,65440840;1,34281400
-474,88850536;0,65440840;1,37333300
-474,56082536;0,65550710;1,37333300
-474,23314536;0,65550710;1,25125900
-473,90546536;0,65663620;1,43437000
-473,57778536;0,65550710;1,41911100
-473,25010537;0,65550710;1,08340700
-472,92242537;0,65663620;1,12918500
-472,59474537;0,65550710;1,14444400
-472,26706537;0,65550710;1,17496300
-471,93938537;0,65440840;1,20548100
-471,61170538;0,65330970;1,25125900
-471,28402538;0,65330970;0,74770340
-470,95634538;0,65440840;0,86977740
-470,62866538;0,65440840;0,86977740
-470,30098538;0,65440840;0,91555520
-469,97330539;0,65550710;0,79348120
-469,64562539;0,65550710;0,83925900
-469,31794539;0,65440840;0,77822200
-468,99026539;0,65440840;0,85451820
-468,66258539;0,65550710;0,79348120
-468,33490540;0,65663620;0,88503670
-468,00722540;0,65550710;1,05288900
-467,67954540;0,65330970;1,19022200
-467,35186540;0,65330970;1,29703700
-467,02418540;0,65330970;1,40385100
-466,69650541;0,65440840;1,93792500
-466,36882541;0,65440840;1,83111000
-466,04114541;0,65330970;1,96844400
-465,71346541;0,65330970;1,98370300
-465,38578541;0,65330970;2,10577700
-465,05810542;0,65550710;1,90740700
-464,73042542;0,65440840;1,84637000
-464,40274542;0,65440840;1,81585100
-464,07506542;0,65550710;1,81585100
-463,74738542;0,65663620;1,81585100
-463,41970543;0,65663620;1,64799900
-463,09202543;0,65663620;1,86162900
-462,76434543;0,66325880;1,81585100
-462,43666543;0,66325880;1,84637000
-462,10898543;0,66325880;1,73955500
-461,78130544;0,66435740;1,93792500
-461,45362544;0,66325880;2,07525800
-461,12594544;0,66212960;1,87688800
-460,79826544;0,66325880;1,92266600
-460,47058544;0,66212960;2,01422100
-460,14290545;0,65663620;2,18207300
-459,81522545;0,65663620;2,21259200
-459,48754545;0,65773490;2,62459200
-459,15986545;0,65550710;2,80770300
-458,83218545;0,65663620;2,99081400
-458,50450546;0,65773490;3,12814700
-458,17682546;0,65663620;2,97555400
-457,84914546;0,65663620;3,05185100
-457,52146546;0,65663620;3,00607300
-457,19378546;0,65663620;2,74666600
-456,86610547;0,65663620;2,57881400
-456,53842547;0,65663620;2,63985100
-456,21074547;0,65550710;2,62459200
-455,88306547;0,65440840;2,67036900
-455,55538547;0,65440840;2,82296200
-455,22770548;0,64998320;2,82296200
-454,90002548;0,64998320;2,86874000
-454,57234548;0,64888450;2,86874000
-454,24466548;0,64778590;2,67036900
-453,91698548;0,64998320;2,73140600
-453,58930549;0,65111240;2,68562900
-453,26162549;0,65221110;2,76192500
-452,93394549;0,65330970;2,80770300
-452,60626549;0,65773490;2,71614700
-452,27858549;0,65663620;2,77718400
-451,95090550;0,65663620;2,67036900
-451,62322550;0,65663620;2,85348100
-451,29554550;0,65663620;2,80770300
-450,96786550;0,65663620;2,97555400
-450,64018550;0,65550710;2,94503600
-450,31250551;0,65883360;2,91451700
-449,98482551;0,65883360;2,99081400
-449,65714551;0,65883360;2,94503600
-449,32946551;0,65883360;2,97555400
-449,00178551;0,65883360;2,94503600
-448,67410552;0,65773490;2,91451700
-448,34642552;0,65773490;2,86874000
-448,01874552;0,65883360;2,85348100
-447,69106552;0,65550710;2,91451700
-447,36338552;0,65550710;3,02133200
-447,03570553;0,65550710;3,08236900
-446,70802553;0,65663620;3,12814700
-446,38034553;0,65663620;3,08236900
-446,05266553;0,65773490;2,94503600
-445,72498553;0,65663620;2,85348100
-445,39730554;0,65550710;2,74666600
-445,06962554;0,65440840;2,68562900
-444,74194554;0,65550710;2,77718400
-444,41426554;0,65663620;2,74666600
-444,08658554;0,64888450;2,34992500
-443,75890555;0,64888450;2,33466600
-443,43122555;0,64778590;2,36518400
-443,10354555;0,64888450;2,33466600
-442,77586555;0,64998320;2,25836900
-442,44818555;0,64888450;2,24311000
-442,12050556;0,64888450;2,31940700
-441,79282556;0,64888450;2,34992500
-441,46514556;0,65550710;2,31940700
-441,13746556;0,65550710;2,34992500
-440,80978556;0,65550710;2,25836900
-440,48210557;0,65550710;2,33466600
-440,15442557;0,65550710;2,12103600
-439,82674557;0,65663620;2,15155500
-439,49906557;0,65550710;2,54829500
-439,17138557;0,65550710;2,63985100
-438,84370557;0,65663620;2,77718400
-438,51602558;0,65773490;2,73140600
-438,18834558;0,65773490;2,63985100
-437,86066558;0,65773490;2,50251800
-437,53298558;0,65773490;2,50251800
-437,20530558;0,65883360;2,48725800
-436,87762559;0,65993230;2,25836900
-436,54994559;0,65993230;2,30414700
-436,22226559;0,65993230;2,24311000
-435,89458559;0,65993230;2,25836900
