Tiempo;Canal A;Canal B
(ms);(V);(mV)

-500,92161421;0,65330970;0,33570360
-500,59393421;0,65330970;0,30518510
-500,26625421;0,65440840;0,06103702
-499,93857421;0,65440840;0,33570360
-499,61089421;0,65440840;0,33570360
-499,28321422;0,65440840;0,25940730
-498,95553422;0,65440840;0,16785180
-498,62785422;0,65221110;0,16785180
-498,30017422;0,65111240;0,12207400
-497,97249422;0,65221110;0,13733330
-497,64481423;0,65108190;0,21362960
-497,31713423;0,65108190;0,21362960
-496,98945423;0,65221110;0,16785180
-496,66177423;0,65221110;0,22888880
-496,33409423;0,65221110;0,25940730
-496,00641424;0,65440840;0,36622210
-495,67873424;0,65440840;0,30518510
-495,35105424;0,65550710;0,35096280
-495,02337424;0,65663620;0,39674060
-494,69569424;0,65773490;0,16785180
-494,36801425;0,65663620;0,07629627
-494,04033425;0,65773490;0,09155552
-493,71265425;0,65883360;0,24414810
-493,38497425;0,65773490;0,16785180
-493,05729425;0,65883360;0,09155552
-492,72961426;0,65773490;0,09155552
-492,40193426;0,65663620;0,09155552
-492,07425426;0,65550710;0,22888880
-491,74657426;0,65663620;0,36622210
-491,41889426;0,65330970;0,32044430
-491,09121427;0,65111240;0,33570360
-490,76353427;0,65111240;0,18311100
-490,43585427;0,64998320;0,19837030
-490,10817427;0,64888450;0,33570360
-489,78049427;0,64888450;0,48829610
-489,45281428;0,64888450;0,50355540
-489,12513428;0,64778590;0,39674060
-488,79745428;0,64998320;0,33570360
-488,46977428;0,65221110;0,27466660
-488,14209428;0,65330970;0,25940730
-487,81441429;0,65221110;0,27466660
-487,48673429;0,65330970;0,07629627
-487,15905429;0,65330970;0,12207400
-486,83137429;0,65440840;0,09155552
-486,50369429;0,65550710;0,09155552
-486,17601430;0,65550710;0,07629627
-485,84833430;0,65550710;0,00000000
-485,52065430;0,65550710;0,10681480
-485,19297430;0,65663620;0,10681480
-484,86529430;0,65773490;0,07629627
-484,53761431;0,65883360;0,07629627
-484,20993431;0,65773490;0,24414810
-483,88225431;0,65663620;0,36622210
-483,55457431;0,65550710;0,36622210
-483,22689431;0,65440840;0,50355540
-482,89921432;0,65330970;0,59511090
-482,57153432;0,65440840;0,64088860
-482,24385432;0,65440840;0,64088860
-481,91617432;0,65440840;0,71718490
-481,58849432;0,65440840;0,71718490
-481,26081433;0,65440840;0,67140720
-480,93313433;0,65550710;0,50355540
-480,60545433;0,65440840;0,50355540
-480,27777433;0,65440840;0,57985160
-479,95009433;0,65330970;0,53407390
-479,62241434;0,65221110;0,76296270
-479,29473434;0,65108190;0,90029600
-478,96705434;0,65108190;0,88503670
-478,63937434;0,64998320;0,83925900
-478,31169434;0,64998320;0,99185150
-477,98401435;0,65108190;1,02237000
-477,65633435;0,64336070;0,99185150
-477,32865435;0,64336070;0,99185150
-477,00097435;0,64336070;1,02237000
-476,67329435;0,64226200;1,06814800
-476,34561436;0,64336070;0,70192570
-476,01793436;0,64445940;0,65614790
-475,69025436;0,64558860;0,64088860
-475,36257436;0,64558860;0,64088860
-475,03489436;0,65330970;0,48829610
-474,70721437;0,65330970;0,54933320
-474,37953437;0,65440840;0,47303690
-474,05185437;0,65550710;0,57985160
-473,72417437;0,65440840;0,59511090
-473,39649437;0,65550710;0,38148130
-473,06881438;0,65550710;0,38148130
-472,74113438;0,65550710;0,41199990
-472,41345438;0,65550710;0,45777760
-472,08577438;0,65663620;0,54933320
-471,75809438;0,65663620;0,74770340
-471,43041439;0,65550710;0,73244420
-471,10273439;0,65550710;0,73244420
-470,77505439;0,65440840;0,76296270
-470,44737439;0,65550710;0,93081450
-470,11969439;0,65663620;0,94607370
-469,79201440;0,65773490;0,97659220
-469,46433440;0,65663620;0,88503670
-469,13665440;0,65550710;0,74770340
-468,80897440;0,65660570;0,76296270
-468,48129440;0,65773490;0,97659220
-468,15361441;0,65883360;0,76296270
-467,82593441;0,65773490;0,70192570
-467,49825441;0,65663620;0,67140720
-467,17057441;0,65550710;0,73244420
-466,84289441;0,65550710;0,71718490
-466,51521442;0,65663620;0,73244420
-466,18753442;0,65663620;0,61037020
-465,85985442;0,65550710;0,54933320
-465,53217442;0,65550710;0,59511090
-465,20449442;0,65550710;0,54933320
-464,87681443;0,65663620;0,57985160
-464,54913443;0,65663620;0,41199990
-464,22145443;0,65221110;0,48829610
-463,89377443;0,64998320;0,45777760
-463,56609443;0,64998320;0,54933320
-463,23841444;0,64888450;0,57985160
-462,91073444;0,64888450;0,39674060
-462,58305444;0,64778590;0,44251840
-462,25537444;0,64668720;0,41199990
-461,92769444;0,64778590;0,35096280
-461,60001445;0,65221110;0,07629627
-461,27233445;0,65330970;0,06103702
-460,94465445;0,65440840;0,07629627
-460,61697445;0,65550710;-0,06103702
-460,28929445;0,65440840;-0,24414810
-459,96161446;0,65550710;-0,24414810
-459,63393446;0,65550710;-0,27466660
-459,30625446;0,65330970;-0,04577776
-458,97857446;0,65440840;0,04577776
-458,65089446;0,65550710;0,06103702
-458,32321447;0,65440840;-0,04577776
-457,99553447;0,65550710;-0,04577776
-457,66785447;0,65663620;-0,04577776
-457,34017447;0,65550710;-0,04577776
-457,01249447;0,65550710;-0,15259250
-456,68481448;0,65773490;-0,18311100
-456,35713448;0,65550710;-0,18311100
-456,02945448;0,65440840;-0,39674060
-455,70177448;0,65550710;-0,38148130
-455,37409448;0,65550710;-0,41199990
-455,04641448;0,65550710;-0,47303690
-454,71873449;0,65550710;-0,35096280
-454,39105449;0,65663620;-0,38148130
-454,06337449;0,65663620;-0,38148130
-453,73569449;0,65663620;-0,51881460
-453,40801449;0,65663620;-0,59511090
-453,08033450;0,65663620;-0,57985160
-452,75265450;0,65550710;-0,45777760
-452,42497450;0,65773490;-0,51881460
-452,09729450;0,65883360;-0,67140720
-451,76961450;0,65773490;-0,65614790
-451,44193451;0,65663620;-0,57985160
-451,11425451;0,65550710;-0,57985160
-450,78657451;0,65663620;-0,57985160
-450,45889451;0,65663620;-0,61037020
-450,13121451;0,65663620;-0,41199990
-449,80353452;0,65330970;-0,42725910
-449,47585452;0,65111240;-0,44251840
-449,14817452;0,65111240;-0,39674060
-448,82049452;0,65111240;-0,25940730
-448,49281452;0,65440840;-0,28992580
-448,16513453;0,65330970;-0,44251840
-447,83745453;0,65330970;-0,47303690
-447,50977453;0,65663620;-0,41199990
-447,18209453;0,65773490;-0,41199990
-446,85441453;0,65993230;-0,56459240
-446,52673454;0,66103090;-1,14444400
-446,19905454;0,66103090;-1,12918500
-445,87137454;0,66103090;-1,23600000
-445,54369454;0,66103090;-1,12918500
-445,21601454;0,65993230;-1,09866600
-444,88833455;0,65663620;-1,20548100
-444,56065455;0,65550710;-1,08340700
-444,23297455;0,65550710;-0,88503670
-443,90529455;0,65550710;-0,83925900
-443,57761455;0,65663620;-0,88503670
-443,24993456;0,65663620;-0,86977740
-442,92225456;0,65773490;-1,08340700
-442,59457456;0,65773490;-0,94607370
-442,26689456;0,65883360;-0,83925900
-441,93921456;0,65993230;-0,73244420
-441,61153457;0,65883360;-0,73244420
-441,28385457;0,65773490;-0,85451820
-440,95617457;0,65663620;-0,94607370
-440,62849457;0,65550710;-1,03762900
-440,30081457;0,65330970;-0,99185150
-439,97313458;0,65330970;-0,88503670
-439,64545458;0,65221110;-0,83925900
-439,31777458;0,64998320;-0,83925900
-438,99009458;0,64998320;-0,83925900
-438,66241458;0,64998320;-0,99185150
-438,33473459;0,64998320;-1,09866600
-438,00705459;0,65111240;-1,09866600
-437,67937459;0,65221110;-1,34281400
-437,35169459;0,65330970;-1,34281400
-437,02401459;0,65330970;-1,38859200
-436,69633460;0,65440840;-1,37333300
