Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,02270368;11,13987000;73,54960000
-500,69502369;11,11789000;74,48042000
-500,36734369;11,11789000;75,77745000
-500,03966369;11,11789000;76,90664000
-499,71198369;11,09592000;78,03583000
-499,38430369;11,09592000;79,13449000
-499,05662370;11,09592000;80,20264000
-498,72894370;11,09592000;81,17923000
-498,40126370;11,09592000;82,20160000
-498,07358370;11,09592000;83,17819000
-497,74590370;11,09592000;84,26160000
-497,41822371;11,09592000;85,26871000
-497,09054371;11,09592000;86,44367000
-496,76286371;11,07456000;87,60338000
-496,43518371;11,07456000;88,44263000
-496,10750371;11,05258000;89,35819000
-495,77982372;11,03061000;90,12115000
-495,45214372;11,03061000;91,05197000
-495,12446372;11,03061000;91,93700000
-494,79678372;11,03061000;92,59315000
-494,46910372;11,03061000;93,41715000
-494,14142373;11,03061000;94,22589000
-493,81374373;11,03061000;95,06515000
-493,48606373;11,03061000;95,87389000
-493,15838373;11,05258000;96,89626000
-492,83070373;11,05258000;97,75078000
-492,50302374;11,05258000;98,68159000
-492,17534374;11,07456000;99,93285000
-491,84766374;11,09592000;100,89420000
-491,51998374;11,11789000;101,77920000
-491,19230374;11,11789000;102,48110000
-490,86462375;11,13987000;103,25940000
-490,53694375;11,13987000;103,94600000
-490,20926375;11,13987000;104,60220000
-489,88158375;11,13987000;106,26540000
-489,55390375;11,13987000;106,63170000
-489,22622376;11,13987000;107,34890000
-488,89854376;11,11789000;108,05080000
-488,57086376;11,11789000;108,56960000
-488,24318376;11,11789000;109,25630000
-487,91550376;11,11789000;110,03450000
-487,58782377;11,13987000;110,70590000
-487,26014377;11,13987000;111,33150000
-486,93246377;11,13987000;112,04870000
-486,60478377;11,13987000;112,56750000
-486,27710377;11,13987000;112,99480000
-485,94942378;11,11789000;113,62040000
-485,62174378;11,09592000;114,16970000
-485,29406378;11,09592000;114,68860000
-484,96638378;11,09592000;114,85640000
-484,63870378;11,07456000;115,37520000
-484,31102379;11,05258000;115,71090000
-483,98334379;11,05258000;116,09240000
-483,65566379;11,05258000;116,36710000
-483,32798379;11,07456000;116,99270000
-483,00030379;11,09592000;117,17580000
-482,67262380;11,09592000;117,63360000
-482,34494380;11,09592000;118,04560000
-482,01726380;11,11789000;118,44230000
-481,68958380;11,13987000;118,77800000
-481,36190380;11,13987000;119,15950000
-481,03422381;11,13987000;119,48000000
-480,70654381;11,13987000;119,70880000
-480,37886381;11,13987000;120,02930000
-480,05118381;11,13987000;120,31920000
-479,72350381;11,13987000;120,68540000
-479,39582382;11,11789000;121,02110000
-479,06814382;11,11789000;121,31110000
-478,74046382;11,11789000;121,50940000
-478,41278382;11,13987000;121,75360000
-478,08510382;11,13987000;121,93670000
-477,75742383;11,11789000;122,18080000
-477,42974383;11,11789000;122,47080000
-477,10206383;11,09592000;122,59280000
-476,77438383;11,09592000;122,77600000
-476,44670383;11,09592000;122,98960000
-476,11902384;11,09592000;123,31000000
-475,79134384;11,07456000;123,40160000
-475,46366384;11,05258000;123,63050000
-475,13598384;11,05258000;123,82880000
-474,80830384;11,05258000;123,95090000
-474,48062385;11,07456000;124,14930000
-474,15294385;11,09592000;124,37820000
-473,82526385;11,09592000;124,51550000
-473,49758385;11,09592000;124,62230000
-473,16990385;11,11789000;124,65280000
-472,84222385;11,13987000;124,50030000
-472,51454386;11,13987000;124,22560000
-472,18686386;11,13987000;124,08820000
-471,85918386;11,13987000;124,10350000
-471,53150386;11,13987000;124,08820000
-471,20382386;11,13987000;123,92040000
-470,87614387;11,13987000;123,92040000
-470,54846387;11,13987000;123,72200000
-470,22078387;11,13987000;123,55420000
-469,89310387;11,16184000;123,40160000
-469,56542387;11,16184000;123,21850000
-469,23774388;11,16184000;123,17270000
-468,91006388;11,16184000;123,26430000
-468,58238388;11,13987000;123,11170000
-468,25470388;11,13987000;122,86750000
-467,92702388;11,13987000;122,51650000
-467,59934389;11,11789000;122,39450000
-467,27166389;11,11789000;122,10450000
-466,94398389;11,11789000;121,86040000
-466,61630389;11,09592000;121,69250000
-466,28862389;11,09592000;121,43310000
-465,96094390;11,11789000;121,14320000
-465,63326390;11,11789000;120,86850000
-465,30558390;11,11789000;120,48710000
-464,97790390;11,13987000;120,28870000
-464,65022390;11,13987000;120,02930000
-464,32254391;11,13987000;119,63260000
-463,99486391;11,16184000;119,22060000
-463,66718391;11,13987000;118,77800000
-463,33950391;11,11789000;118,36600000
-463,01182391;11,11789000;118,01510000
-462,68414392;11,11789000;117,48100000
-462,35646392;11,11789000;117,11480000
-462,02878392;11,11789000;116,64170000
-461,70110392;11,11789000;116,41280000
-461,37342392;11,11789000;115,98560000
-461,04574393;11,13987000;115,54310000
-460,71806393;11,16184000;115,34470000
-460,39038393;11,16184000;114,88690000
-460,06270393;11,16184000;114,44440000
-459,73502393;11,13987000;114,03240000
-459,40734394;11,13987000;112,82690000
-459,07966394;11,11789000;112,20130000
-458,75198394;11,09592000;111,57570000
-458,42430394;11,09592000;111,04160000
-458,09662394;11,09592000;110,62960000
-457,76894395;11,09592000;110,04970000
-457,44126395;11,09592000;109,42410000
-457,11358395;11,09592000;108,79850000
-456,78590395;11,07456000;108,05080000
-456,45822395;11,09592000;107,13520000
-456,13054396;11,11789000;106,34170000
-455,80286396;11,09592000;105,59400000
-455,47518396;11,07456000;104,86160000
-455,14750396;11,07456000;104,12910000
-454,81982396;11,07456000;103,22890000
-454,49214397;11,09592000;102,49640000
-454,16446397;11,11789000;101,91650000
-453,83678397;11,11789000;101,36720000
-453,50910397;11,11789000;100,63480000
-453,18142397;11,13987000;99,87182000
-452,85374398;11,13987000;99,20041000
-452,52606398;11,13987000;98,40693000
-452,19838398;11,13987000;97,59819000
-451,87070398;11,13987000;96,78944000
-451,54302398;11,13987000;95,78233000
-451,21534399;11,13987000;94,97359000
-450,88766399;11,13987000;94,13434000
-450,55998399;11,13987000;93,46293000
-450,23230399;11,16184000;92,73048000
-449,90462399;11,16184000;91,93700000
-449,57694400;11,16184000;91,14352000
-449,24926400;11,13987000;90,12115000
-448,92158400;11,13987000;88,88515000
-448,59390400;11,11789000;87,77123000
-448,26622400;11,11789000;86,87093000
-447,93854401;11,09592000;85,94012000
-447,61086401;11,09592000;84,93301000
-447,28318401;11,07456000;84,17004000
-446,95550401;11,07456000;83,51389000
-446,62782401;11,07456000;82,67464000
-446,30014402;11,07456000;81,72856000
-445,97246402;11,09592000;80,59938000
-445,64478402;11,07456000;79,62279000
-445,31710402;11,09592000;78,55464000
-444,98942402;11,09592000;77,44071000
-444,66174403;11,11789000;76,69301000
-444,33406403;11,11789000;75,73167000
-444,00638403;11,13987000;74,72456000
-443,67870403;11,13987000;73,65642000
-443,35102403;11,13987000;72,66457000
-443,02334404;11,16184000;71,55064000
-442,69566404;11,16184000;70,58931000
-442,36798404;11,16184000;69,61272000
-442,04030404;11,16184000;68,42249000
-441,71262404;11,16184000;67,36961000
-441,38494405;11,16184000;66,19464000
-441,05726405;11,16184000;65,08072000
-440,72958405;11,16184000;63,96679000
-440,40190405;11,13987000;62,99020000
-440,07422405;11,13987000;61,96783000
-439,74654406;11,13987000;60,83864000
-439,41886406;11,13987000;59,75524000
-439,09118406;11,13987000;58,47346000
-438,76350406;11,13987000;57,20694000
-438,43582406;11,13987000;55,71153000
-438,10814407;11,13987000;54,58235000
-437,78046407;11,13987000;53,43791000
-437,45278407;11,11789000;52,40028000
-437,12510407;11,11789000;51,24057000
-436,79742407;11,11789000;49,95880000
-436,46974408;11,09592000;48,95169000
-436,14206408;11,07456000;47,76146000
-435,81438408;11,05258000;46,44917000
