Tiempo;Canal A;Canal B
(ms);(V);(mV)

-500,75424436;0,67140720;-11,62755000
-500,42656437;0,67140720;-11,56651000
-500,09888437;0,67140720;-11,55125000
-499,77120437;0,67140720;-11,53600000
-499,44352437;0,67140720;-11,65807000
-499,11584437;0,67140720;-11,68859000
-498,78816438;0,67140720;-11,90222000
-498,46048438;0,67140720;-12,07007000
-498,13280438;0,67140720;-12,32948000
-497,80512438;0,67140720;-12,32948000
-497,47744438;0,67140720;-12,29896000
-497,14976439;0,67140720;-12,36000000
-496,82208439;0,67140720;-12,55837000
-496,49440439;0,67140720;-12,58888000
-496,16672439;0,67140720;-12,49733000
-495,83904439;0,67140720;-12,54311000
-495,51136440;0,64943390;-12,66518000
-495,18368440;0,64943390;-12,83303000
-494,85600440;0,64943390;-12,89407000
-494,52832440;0,64943390;-12,74148000
-494,20064440;0,64943390;-12,60414000
-493,87296441;0,64943390;-12,68044000
-493,54528441;0,64943390;-12,87881000
-493,21760441;0,64943390;-12,95511000
-492,88992441;0,67140720;-12,95511000
-492,56224441;0,64943390;-12,92459000
-492,23456442;0,64943390;-13,01614000
-491,90688442;0,64943390;-13,07718000
-491,57920442;0,64943390;-13,30607000
-491,25152442;0,64943390;-13,38237000
-490,92384442;0,64943390;-13,62651000
-490,59616443;0,64943390;-13,74859000
-490,26848443;0,64943390;-13,79437000
-489,94080443;0,67140720;-13,70281000
-489,61312443;0,67140720;-13,74859000
-489,28544443;0,67140720;-13,79437000
-488,95776444;0,67140720;-13,87066000
-488,63008444;0,67140720;-13,96222000
-488,30240444;0,67140720;-14,16059000
-487,97472444;0,67140720;-14,31318000
-487,64704444;0,67140720;-14,34370000
-487,31936445;0,67140720;-14,28266000
-486,99168445;0,67140720;-14,03851000
-486,66400445;0,67140720;-14,00799000
-486,33632445;0,67140720;-13,90118000
-486,00864445;0,67140720;-14,03851000
-485,68096446;0,67140720;-14,09955000
-485,35328446;0,67140720;-13,94696000
-485,02560446;0,67140720;-13,91644000
-484,69792446;0,67140720;-13,96222000
-484,37024446;0,67140720;-14,17585000
-484,04256447;0,67140720;-14,20637000
-483,71488447;0,67140720;-14,17585000
-483,38720447;0,67140720;-14,26740000
-483,05952447;0,67140720;-14,37422000
-482,73184447;0,67140720;-14,54207000
-482,40416448;0,67140720;-14,63363000
-482,07648448;0,67140720;-14,66414000
-481,74880448;0,67140720;-14,72518000
-481,42112448;0,67140720;-14,61837000
-481,09344448;0,67140720;-14,66414000
-480,76576449;0,67140720;-14,84725000
-480,43808449;0,64943390;-14,84725000
-480,11040449;0,64943390;-14,81674000
-479,78272449;0,64943390;-14,69466000
-479,45504449;0,64943390;-14,67940000
-479,12736450;0,64943390;-14,80148000
-478,79968450;0,64943390;-14,87777000
-478,47200450;0,64943390;-14,99985000
-478,14432450;0,64943390;-15,06088000
-477,81664450;0,67140720;-15,01511000
-477,48896451;0,67140720;-15,06088000
-477,16128451;0,67140720;-15,10666000
-476,83360451;0,67140720;-15,27451000
-476,50592451;0,67140720;-15,35081000
-476,17824451;0,67140720;-15,59496000
-475,85056451;0,67140720;-15,67125000
-475,52288452;0,67140720;-15,61022000
-475,19520452;0,67140720;-15,65599000
-474,86752452;0,67140720;-15,80859000
-474,53984452;0,67140720;-15,77807000
-474,21216452;0,67140720;-15,93066000
-473,88448453;0,67140720;-15,86962000
-473,55680453;0,67140720;-15,86962000
-473,22912453;0,67140720;-16,05273000
-472,90144453;0,67140720;-16,12903000
-472,57376453;0,67140720;-16,26636000
-472,24608454;0,67140720;-16,23585000
-471,91840454;0,67140720;-16,17481000
-471,59072454;0,67140720;-16,08325000
-471,26304454;0,67140720;-15,88488000
-470,93536454;0,67140720;-15,79333000
-470,60768455;0,67140720;-15,86962000
-470,28000455;0,67140720;-15,74755000
-469,95232455;0,67140720;-15,74755000
-469,62464455;0,67140720;-15,77807000
-469,29696455;0,67140720;-15,79333000
-468,96928456;0,64943390;-15,83911000
-468,64160456;0,64943390;-15,62548000
-468,31392456;0,64943390;-15,50340000
-467,98624456;0,64943390;-15,51866000
-467,65856456;0,64943390;-15,73229000
-467,33088457;0,64943390;-15,91540000
-467,00320457;0,64943390;-16,02221000
-466,67552457;0,64943390;-16,17481000
-466,34784457;0,67140720;-16,06799000
-466,02016457;0,67140720;-16,09851000
-465,69248458;0,67140720;-16,08325000
-465,36480458;0,67140720;-16,00696000
-465,03712458;0,64943390;-15,94592000
-464,70944458;0,64943390;-15,96118000
-464,38176458;0,64943390;-16,09851000
-464,05408459;0,64943390;-16,26636000
-463,72640459;0,64943390;-16,43422000
-463,39872459;0,62746050;-16,34266000
-463,07104459;0,62746050;-16,28162000
-462,74336459;0,60548720;-16,05273000
-462,41568460;0,62746050;-16,09851000
-462,08800460;0,62746050;-16,14429000
-461,76032460;0,62746050;-16,23585000
-461,43264460;0,62746050;-16,31214000
-461,10496460;0,62746050;-16,44948000
-460,77728461;0,64943390;-16,51051000
-460,44960461;0,64943390;-16,47999000
-460,12192461;0,67140720;-16,51051000
-459,79424461;0,67140720;-16,46474000
-459,46656461;0,67140720;-16,32740000
-459,13888462;0,64943390;-16,14429000
-458,81120462;0,64943390;-16,17481000
-458,48352462;0,62746050;-16,15955000
-458,15584462;0,62746050;-16,15955000
-457,82816462;0,62746050;-16,08325000
-457,50048463;0,62746050;-16,02221000
-457,17280463;0,62746050;-15,86962000
-456,84512463;0,60548720;-15,79333000
-456,51744463;0,62746050;-15,86962000
-456,18976463;0,62746050;-16,08325000
-455,86208464;0,64943390;-16,06799000
-455,53440464;0,64943390;-16,17481000
-455,20672464;0,64943390;-16,08325000
-454,87904464;0,64943390;-16,15955000
-454,55136464;0,64943390;-16,12903000
-454,22368465;0,67140720;-15,65599000
-453,89600465;0,67140720;-15,28977000
-453,56832465;0,67140720;-15,33555000
-453,24064465;0,67140720;-15,41185000
-452,91296465;0,67140720;-15,24399000
-452,58528466;0,67140720;-15,68651000
-452,25760466;0,67140720;-15,70177000
-451,92992466;0,64943390;-15,77807000
-451,60224466;0,64943390;-16,47999000
-451,27456466;0,64943390;-16,31214000
-450,94688467;0,64943390;-16,17481000
-450,61920467;0,64943390;-16,19007000
-450,29152467;0,64943390;-15,79333000
-449,96384467;0,64943390;-15,76281000
-449,63616467;0,64943390;-15,59496000
-449,30848468;0,67140720;-15,51866000
-448,98080468;0,67140720;-15,51866000
-448,65312468;0,67140720;-15,61022000
-448,32544468;0,67140720;-15,61022000
-447,99776468;0,67140720;-15,51866000
-447,67008469;0,67140720;-15,19822000
-447,34240469;0,64943390;-15,19822000
-447,01472469;0,62746050;-15,27451000
-446,68704469;0,62746050;-15,42711000
-446,35936469;0,62746050;-15,50340000
-446,03168470;0,62746050;-15,51866000
-445,70400470;0,62746050;-15,54918000
-445,37632470;0,62746050;-15,50340000
-445,04864470;0,62746050;-15,41185000
-444,72096470;0,64943390;-15,15244000
-444,39328471;0,67140720;-14,99985000
-444,06560471;0,67140720;-14,86251000
-443,73792471;0,67140720;-14,84725000
-443,41024471;0,67140720;-14,66414000
-443,08256471;0,67140720;-14,52681000
-442,75488472;0,67140720;-14,45051000
-442,42720472;0,67140720;-14,54207000
-442,09952472;0,67140720;-14,57259000
-441,77184472;0,67140720;-14,60311000
-441,44416472;0,67140720;-14,72518000
-441,11648473;0,67140720;-14,77096000
-440,78880473;0,67140720;-14,70992000
-440,46112473;0,67140720;-14,63363000
-440,13344473;0,67140720;-14,58785000
-439,80576473;0,67140720;-14,45051000
-439,47808474;0,67140720;-14,20637000
-439,15040474;0,67140720;-14,20637000
-438,82272474;0,67140720;-14,14533000
