Tiempo;Canal A;Canal B
(ms);(V);(mV)

-500,92560772;0,64943390;-25,13199000
-500,59792772;0,64943390;-25,11673000
-500,27024772;0,64943390;-24,97940000
-499,94256772;0,64943390;-24,97940000
-499,61488773;0,64943390;-24,96414000
-499,28720773;0,64943390;-24,75051000
-498,95952773;0,64943390;-24,59792000
-498,63184773;0,64943390;-24,59792000
-498,30416773;0,67140720;-24,56740000
-497,97648774;0,67140720;-24,55214000
-497,64880774;0,67140720;-24,61318000
-497,32112774;0,67140720;-24,61318000
-496,99344774;0,67140720;-24,53688000
-496,66576774;0,67140720;-24,61318000
-496,33808775;0,67140720;-24,67421000
-496,01040775;0,67140720;-24,59792000
-495,68272775;0,67140720;-24,59792000
-495,35504775;0,67140720;-24,47584000
-495,02736775;0,67140720;-24,30799000
-494,69968776;0,67140720;-24,23170000
-494,37200776;0,67140720;-24,03333000
-494,04432776;0,67140720;-23,91125000
-493,71664776;0,67140720;-23,88073000
-493,38896776;0,67140720;-23,77392000
-493,06128777;0,67140720;-23,62132000
-492,73360777;0,67140720;-23,62132000
-492,40592777;0,67140720;-23,48399000
-492,07824777;0,67140720;-23,33140000
-491,75056777;0,67140720;-23,42295000
-491,42288778;0,67140720;-23,39244000
-491,09520778;0,67140720;-23,46873000
-490,76752778;0,67140720;-23,48399000
-490,43984778;0,67140720;-23,37718000
-490,11216778;0,64943390;-23,30088000
-489,78448779;0,64943390;-23,28562000
-489,45680779;0,64943390;-23,28562000
-489,12912779;0,64943390;-23,28562000
-488,80144779;0,64943390;-23,07199000
-488,47376779;0,64943390;-23,02621000
-488,14608780;0,64943390;-23,10251000
-487,81840780;0,64943390;-22,94992000
-487,49072780;0,67140720;-22,88888000
-487,16304780;0,67140720;-22,64473000
-486,83536780;0,67140720;-22,33955000
-486,50768780;0,67140720;-22,30903000
-486,18000781;0,67140720;-22,18696000
-485,85232781;0,67140720;-22,17170000
-485,52464781;0,67140720;-22,06488000
-485,19696781;0,67140720;-21,91229000
-484,86928781;0,67140720;-21,74444000
-484,54160782;0,67140720;-21,68340000
-484,21392782;0,67140720;-21,65288000
-483,88624782;0,67140720;-21,39347000
-483,55856782;0,67140720;-21,21036000
-483,23088782;0,67140720;-21,16459000
-482,90320783;0,67140720;-21,14932000
-482,57552783;0,67140720;-21,33244000
-482,24784783;0,67140720;-21,27140000
-481,92016783;0,67140720;-21,33244000
-481,59248783;0,67140720;-21,24088000
-481,26480784;0,67140720;-21,22562000
-480,93712784;0,67140720;-21,37821000
-480,60944784;0,67140720;-21,27140000
-480,28176784;0,67140720;-21,24088000
-479,95408784;0,67140720;-21,13407000
-479,62640785;0,67140720;-21,13407000
-479,29872785;0,67140720;-20,93570000
-478,97104785;0,67140720;-20,69155000
-478,64336785;0,67140720;-20,55421000
-478,31568785;0,67140720;-20,46266000
-477,98800786;0,67140720;-20,34059000
-477,66032786;0,67140720;-20,26429000
-477,33264786;0,67140720;-20,11170000
-477,00496786;0,67140720;-20,14222000
-476,67728786;0,67140720;-20,61525000
-476,34960787;0,67140720;-20,58473000
-476,02192787;0,67140720;-20,59999000
-475,69424787;0,67140720;-20,41688000
-475,36656787;0,67140720;-20,27955000
-475,03888787;0,67140720;-20,14222000
-474,71120788;0,67140720;-19,94385000
-474,38352788;0,67140720;-19,79125000
-474,05584788;0,67140720;-19,63866000
-473,72816788;0,67140720;-19,69970000
-473,40048788;0,67140720;-19,33348000
-473,07280789;0,67140720;-19,04355000
-472,74512789;0,67140720;-18,73836000
-472,41744789;0,67140720;-18,87570000
-472,08976789;0,67140720;-18,81466000
-471,76208789;0,67140720;-18,69258000
-471,43440790;0,67140720;-18,60103000
-471,10672790;0,67140720;-18,57051000
-470,77904790;0,67140720;-18,35688000
-470,45136790;0,67140720;-18,15851000
-470,12368790;0,67140720;-18,06696000
-469,79600791;0,67140720;-17,73125000
-469,46832791;0,67140720;-17,54814000
-469,14064791;0,67140720;-17,48710000
-468,81296791;0,67140720;-16,96829000
-468,48528791;0,67140720;-16,90725000
-468,15760792;0,67140720;-16,95303000
-467,82992792;0,67140720;-16,95303000
-467,50224792;0,67140720;-16,96829000
-467,17456792;0,67140720;-16,93777000
-466,84688792;0,67140720;-16,89199000
-466,51920793;0,67140720;-16,55629000
-466,19152793;0,67140720;-16,49525000
-465,86384793;0,67140720;-16,40370000
-465,53616793;0,67140720;-16,35792000
-465,20848793;0,67140720;-16,41896000
-464,88080794;0,67140720;-16,34266000
-464,55312794;0,67140720;-16,31214000
-464,22544794;0,67140720;-16,28162000
-463,89776794;0,67140720;-16,55629000
-463,57008794;0,67140720;-16,43422000
-463,24240795;0,64943390;-16,31214000
-462,91472795;0,64943390;-16,20533000
-462,58704795;0,64943390;-16,09851000
-462,25936795;0,64943390;-15,93066000
-461,93168795;0,64943390;-15,74755000
-461,60400796;0,64943390;-15,64073000
-461,27632796;0,64943390;-15,79333000
-460,94864796;0,64943390;-15,62548000
-460,62096796;0,67140720;-15,48814000
-460,29328796;0,67140720;-15,41185000
-459,96560797;0,67140720;-15,61022000
-459,63792797;0,67140720;-15,47288000
-459,31024797;0,67140720;-15,28977000
-458,98256797;0,67140720;-15,03036000
-458,65488797;0,67140720;-14,87777000
-458,32720798;0,67140720;-14,14533000
-457,99952798;0,67140720;-13,73333000
-457,67184798;0,67140720;-13,62651000
-457,34416798;0,67140720;-13,42814000
-457,01648798;0,67140720;-13,22977000
-456,68880799;0,67140720;-13,07718000
-456,36112799;0,67140720;-12,97037000
-456,03344799;0,67140720;-12,97037000
-455,70576799;0,67140720;-13,26029000
-455,37808799;0,67140720;-13,12296000
-455,05040800;0,67140720;-12,98563000
-454,72272800;0,67140720;-12,89407000
-454,39504800;0,67140720;-12,71096000
-454,06736800;0,67140720;-13,06192000
-453,73968800;0,67140720;-12,93985000
-453,41200801;0,67140720;-12,93985000
-453,08432801;0,67140720;-12,80251000
-452,75664801;0,67140720;-12,61940000
-452,42896801;0,67140720;-12,46681000
-452,10128801;0,67140720;-12,05481000
-451,77360802;0,67140720;-11,78014000
-451,44592802;0,67140720;-11,56651000
-451,11824802;0,67140720;-11,47496000
-450,79056802;0,67140720;-11,32237000
-450,46288802;0,67140720;-10,83407000
-450,13520803;0,67140720;-10,78829000
-449,80752803;0,67140720;-10,75777000
-449,47984803;0,67140720;-10,68148000
-449,15216803;0,67140720;-10,48311000
-448,82448803;0,67140720;-10,28474000
-448,49680804;0,67140720;-10,16266000
-448,16912804;0,67140720;-9,93377500
-447,84144804;0,67140720;-9,67436700
-447,51376804;0,67140720;-9,47599600
-447,18608804;0,67140720;-9,21658900
-446,85840805;0,67140720;-9,23184800
-446,53072805;0,67140720;-9,04873700
-446,20304805;0,67140720;-8,86562600
-445,87536805;0,67140720;-8,83510900
-445,54768805;0,67140720;-8,75881200
-445,22000806;0,67140720;-8,56044100
-444,89232806;0,67140720;-8,46888600
-444,56464806;0,67140720;-8,36207100
-444,23696806;0,67140720;-8,19421900
-443,90928806;0,67140720;-7,95007100
-443,58160807;0,67140720;-7,75170100
-443,25392807;0,67140720;-7,61436700
-442,92624807;0,67140720;-6,98873800
-442,59856807;0,67140720;-6,71407200
-442,27088807;0,67140720;-6,65303500
-441,94320808;0,67140720;-6,59199800
-441,61552808;0,67140720;-6,60725700
-441,28784808;0,67140720;-6,39362700
-440,96016808;0,67140720;-6,19525700
-440,63248808;0,67140720;-5,81377600
-440,30480809;0,67140720;-5,47807200
-439,97712809;0,67140720;-5,18814600
-439,64944809;0,67140720;-5,06607200
-439,32176809;0,67140720;-5,02029500
-438,99408809;0,67140720;-4,95925800
