Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,02270368;0,67140720;14,67940000
-500,69502369;0,67140720;14,77096000
-500,36734369;0,67140720;14,84725000
-500,03966369;0,67140720;15,06088000
-499,71198369;0,67140720;15,30503000
-499,38430369;0,64943390;15,28977000
-499,05662370;0,64943390;15,38133000
-498,72894370;0,64943390;15,48814000
-498,40126370;0,64943390;15,56444000
-498,07358370;0,64943390;15,71703000
-497,74590370;0,64943390;15,86962000
-497,41822371;0,64943390;15,97644000
-497,09054371;0,64943390;16,12903000
-496,76286371;0,67140720;16,28162000
-496,43518371;0,67140720;16,41896000
-496,10750371;0,67140720;16,34266000
-495,77982372;0,67140720;16,31214000
-495,45214372;0,67140720;16,29688000
-495,12446372;0,67140720;16,02221000
-494,79678372;0,67140720;16,17481000
-494,46910372;0,67140720;16,25110000
-494,14142373;0,67140720;16,76992000
-493,81374373;0,67140720;16,87673000
-493,48606373;0,67140720;16,98355000
-493,15838373;0,67140720;17,19718000
-492,83070373;0,67140720;17,60918000
-492,50302374;0,67140720;17,94488000
-492,17534374;0,67140720;18,23481000
-491,84766374;0,67140720;18,29585000
-491,51998374;0,64943390;18,40266000
-491,19230374;0,64943390;18,44844000
-490,86462375;0,64943390;18,55525000
-490,53694375;0,64943390;18,61629000
-490,20926375;0,64943390;18,72310000
-489,88158375;0,64943390;19,30296000
-489,55390375;0,64943390;19,28770000
-489,22622376;0,64943390;19,62340000
-488,89854376;0,67140720;19,68444000
-488,57086376;0,67140720;19,71496000
-488,24318376;0,67140720;19,82177000
-487,91550376;0,67140720;19,85229000
-487,58782377;0,67140720;20,00488000
-487,26014377;1,98248200;20,12696000
-486,93246377;3,29355800;20,17273000
-486,60478377;4,58327000;20,23377000
-486,27710377;5,89434500;20,11170000
-485,94942378;7,20603000;20,23377000
-485,62174378;8,51710600;20,41688000
-485,29406378;9,82818000;20,75258000
-484,96638378;11,11789000;20,92044000
-484,63870378;11,09592000;21,42399000
-484,31102379;11,07456000;21,79021000
-483,98334379;11,09592000;21,91229000
-483,65566379;11,07456000;22,03436000
-483,32798379;11,05258000;22,38533000
-483,00030379;11,05258000;22,50740000
-482,67262380;11,03061000;22,75155000
-482,34494380;11,05258000;22,64473000
-482,01726380;11,05258000;22,64473000
-481,68958380;11,05258000;22,50740000
-481,36190380;11,03061000;22,56844000
-481,03422381;11,03061000;22,76681000
-480,70654381;11,03061000;22,82784000
-480,37886381;11,00864000;22,90414000
-480,05118381;11,00864000;22,96518000
-479,72350381;11,00864000;22,96518000
-479,39582382;11,00864000;22,91940000
-479,06814382;11,03061000;22,65999000
-478,74046382;11,05258000;22,69051000
-478,41278382;11,05258000;22,84310000
-478,08510382;11,05258000;22,84310000
-477,75742383;11,05258000;22,85836000
-477,42974383;11,07456000;22,88888000
-477,10206383;11,07456000;22,91940000
-476,77438383;11,09592000;22,84310000
-476,44670383;11,09592000;22,91940000
-476,11902384;11,09592000;22,93466000
-475,79134384;11,11789000;22,93466000
-475,46366384;11,11789000;23,11777000
-475,13598384;11,11789000;23,20932000
-474,80830384;11,11789000;23,31614000
-474,48062385;11,11789000;23,39244000
-474,15294385;11,09592000;23,45347000
-473,82526385;11,07456000;23,45347000
-473,49758385;11,05258000;23,37718000
-473,16990385;11,05258000;23,45347000
-472,84222385;11,07456000;23,43821000
-472,51454386;11,09592000;23,51451000
-472,18686386;11,07456000;23,56029000
-471,85918386;11,07456000;23,78918000
-471,53150386;11,07456000;23,86547000
-471,20382386;11,07456000;24,06384000
-470,87614387;11,07456000;24,26221000
-470,54846387;11,05258000;24,32325000
-470,22078387;11,05258000;24,35377000
-469,89310387;11,03061000;24,27747000
-469,56542387;11,03061000;25,34562000
-469,23774388;11,00864000;25,36088000
-468,91006388;11,03061000;25,25406000
-468,58238388;11,03061000;25,25406000
-468,25470388;11,05258000;24,88784000
-467,92702388;11,05258000;24,79629000
-467,59934389;11,05258000;24,81155000
-467,27166389;11,07456000;24,85732000
-466,94398389;11,09592000;24,88784000
-466,61630389;11,11789000;24,88784000
-466,28862389;11,11789000;24,59792000
-465,96094390;11,11789000;24,49110000
-465,63326390;11,09592000;24,44532000
-465,30558390;11,11789000;24,23170000
-464,97790390;11,11789000;24,06384000
-464,65022390;11,11789000;24,00281000
-464,32254391;11,11789000;23,95703000
-463,99486391;11,11789000;23,74340000
-463,66718391;11,09592000;23,74340000
-463,33950391;11,11789000;23,71288000
-463,01182391;11,13987000;23,77392000
-462,68414392;11,13987000;23,71288000
-462,35646392;11,13987000;23,74340000
-462,02878392;11,11789000;23,71288000
-461,70110392;11,09592000;23,72814000
-461,37342392;11,07456000;23,72814000
-461,04574393;11,09592000;23,78918000
-460,71806393;11,07456000;23,89599000
-460,39038393;11,05258000;24,14014000
-460,06270393;9,74089800;24,20118000
-459,73502393;8,42982300;24,36903000
-459,40734394;7,14011000;24,35377000
-459,07966394;5,85100800;24,36903000
-458,75198394;4,56129600;24,35377000
-458,42430394;3,25022100;24,29273000
-458,09662394;1,96050900;24,26221000
-457,76894395;0,67140720;24,50636000
-457,44126395;0,67140720;24,52162000
-457,11358395;0,67140720;24,65895000
-456,78590395;0,67140720;24,58266000
-456,45822395;0,67140720;24,59792000
-456,13054396;0,67140720;24,56740000
-455,80286396;0,67140720;24,50636000
-455,47518396;0,67140720;24,30799000
-455,14750396;0,67140720;24,29273000
-454,81982396;0,67140720;24,35377000
-454,49214397;0,67140720;24,20118000
-454,16446397;0,67140720;24,20118000
-453,83678397;0,67140720;24,09436000
-453,50910397;0,67140720;24,01807000
-453,18142397;0,67140720;23,91125000
-452,85374398;0,67140720;23,89599000
-452,52606398;0,67140720;23,75866000
-452,19838398;0,67140720;24,04858000
-451,87070398;0,67140720;24,06384000
-451,54302398;0,67140720;23,85021000
-451,21534399;0,67140720;23,95703000
-450,88766399;0,67140720;23,83495000
-450,55998399;0,67140720;23,95703000
-450,23230399;0,67140720;23,86547000
-449,90462399;0,67140720;23,97229000
-449,57694400;0,67140720;23,92651000
-449,24926400;0,67140720;23,83495000
-448,92158400;0,67140720;23,85021000
-448,59390400;0,67140720;23,51451000
-448,26622400;0,67140720;23,43821000
-447,93854401;0,64943390;23,22458000
-447,61086401;0,64943390;23,05673000
-447,28318401;0,64943390;23,04147000
-446,95550401;0,64943390;22,96518000
-446,62782401;0,64943390;22,94992000
-446,30014402;0,64943390;22,79733000
-445,97246402;0,64943390;22,69051000
-445,64478402;0,64943390;22,56844000
-445,31710402;0,67140720;22,53792000
-444,98942402;0,67140720;22,44636000
-444,66174403;0,67140720;22,40059000
-444,33406403;0,67140720;22,53792000
-444,00638403;0,67140720;22,53792000
-443,67870403;0,67140720;22,56844000
-443,35102403;0,67140720;22,46162000
-443,02334404;0,67140720;22,43110000
-442,69566404;0,67140720;22,17170000
-442,36798404;0,67140720;22,12592000
-442,04030404;0,67140720;22,04962000
-441,71262404;0,67140720;22,01910000
-441,38494405;0,64943390;22,09540000
-441,05726405;0,64943390;22,01910000
-440,72958405;0,64943390;21,89703000
-440,40190405;0,64943390;22,64473000
-440,07422405;0,64943390;22,52266000
-439,74654406;0,64943390;22,41584000
-439,41886406;0,64943390;22,38533000
-439,09118406;0,64943390;22,29377000
-438,76350406;0,67140720;22,23273000
-438,43582406;0,67140720;22,12592000
-438,10814407;0,67140720;21,98858000
-437,78046407;0,67140720;22,09540000
-437,45278407;0,67140720;22,09540000
-437,12510407;0,67140720;22,03436000
-436,79742407;0,67140720;21,86651000
-436,46974408;0,67140720;21,72918000
-436,14206408;0,67140720;21,62236000
-435,81438408;0,67140720;21,43925000
