Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,02270368;0,67140720;9,68962700
-500,69502369;0,67140720;9,20133000
-500,36734369;0,67140720;9,23184800
-500,03966369;0,67140720;9,32340400
-499,71198369;0,64943390;8,98770000
-499,38430369;0,64943390;9,12503300
-499,05662370;0,64943390;9,06399600
-498,72894370;0,64943390;9,21658900
-498,40126370;0,64943390;9,18607000
-498,07358370;0,64943390;9,27762600
-497,74590370;0,64943390;9,32340400
-497,41822371;0,64943390;9,29288500
-497,09054371;0,67140720;9,47599600
-496,76286371;0,67140720;9,49125600
-496,43518371;0,67140720;9,58281100
-496,10750371;0,67140720;9,67436700
-495,77982372;0,67140720;9,72014400
-495,45214372;0,67140720;9,79644100
-495,12446372;0,67140720;10,02533000
-494,79678372;0,67140720;10,51363000
-494,46910372;0,67140720;10,51363000
-494,14142373;0,67140720;10,48311000
-493,81374373;0,67140720;10,60518000
-493,48606373;0,67140720;10,75777000
-493,15838373;0,64943390;10,80355000
-492,83070373;0,64943390;11,04770000
-492,50302374;0,64943390;10,80355000
-492,17534374;0,64943390;10,95614000
-491,84766374;0,64943390;11,06296000
-491,51998374;0,64943390;11,01718000
-491,19230374;0,64943390;11,04770000
-490,86462375;0,64943390;11,13926000
-490,53694375;0,64943390;11,13926000
-490,20926375;0,64943390;11,27659000
-489,88158375;0,64943390;11,58177000
-489,55390375;0,64943390;11,73437000
-489,22622376;0,64943390;11,87170000
-488,89854376;0,64943390;11,99377000
-488,57086376;0,64943390;11,94800000
-488,24318376;0,64943390;11,94800000
-487,91550376;0,67140720;12,10059000
-487,58782377;0,67140720;12,00903000
-487,26014377;0,67140720;12,11585000
-486,93246377;0,67140720;12,16162000
-486,60478377;0,67140720;12,14637000
-486,27710377;0,67140720;12,23792000
-485,94942378;0,67140720;12,37526000
-485,62174378;0,67140720;12,51259000
-485,29406378;0,67140720;12,49733000
-484,96638378;0,67140720;12,46681000
-484,63870378;0,67140720;12,52785000
-484,31102379;0,67140720;12,54311000
-483,98334379;0,67140720;12,52785000
-483,65566379;0,67140720;12,55837000
-483,32798379;0,67140720;12,43629000
-483,00030379;0,67140720;12,60414000
-482,67262380;0,67140720;12,69570000
-482,34494380;0,67140720;12,83303000
-482,01726380;0,67140720;12,54311000
-481,68958380;0,67140720;12,57363000
-481,36190380;0,64943390;12,51259000
-481,03422381;0,64943390;12,66518000
-480,70654381;0,64943390;12,63466000
-480,37886381;0,64943390;12,74148000
-480,05118381;0,64943390;12,72622000
-479,72350381;0,64943390;12,87881000
-479,39582382;0,64943390;12,89407000
-479,06814382;0,64943390;13,00088000
-478,74046382;0,67140720;13,29081000
-478,41278382;0,67140720;13,56548000
-478,08510382;0,67140720;13,67229000
-477,75742383;0,67140720;13,70281000
-477,42974383;0,67140720;13,68755000
-477,10206383;0,67140720;14,08429000
-476,77438383;0,67140720;14,03851000
-476,44670383;0,67140720;14,38948000
-476,11902384;0,67140720;14,26740000
-475,79134384;0,67140720;14,29792000
-475,46366384;0,67140720;14,37422000
-475,13598384;0,67140720;14,13007000
-474,80830384;0,67140720;14,14533000
-474,48062385;0,67140720;14,14533000
-474,15294385;0,67140720;14,22162000
-473,82526385;0,67140720;14,22162000
-473,49758385;0,67140720;13,99273000
-473,16990385;0,67140720;14,03851000
-472,84222385;0,67140720;14,20637000
-472,51454386;0,67140720;14,23688000
-472,18686386;0,67140720;14,86251000
-471,85918386;0,67140720;14,99985000
-471,53150386;0,67140720;15,04562000
-471,20382386;0,67140720;15,09140000
-470,87614387;0,67140720;15,24399000
-470,54846387;0,67140720;15,36607000
-470,22078387;0,67140720;15,22873000
-469,89310387;0,67140720;15,18296000
-469,56542387;0,64943390;15,18296000
-469,23774388;0,64943390;15,24399000
-468,91006388;0,64943390;15,41185000
-468,58238388;0,64943390;15,28977000
-468,25470388;0,64943390;15,19822000
-467,92702388;0,64943390;15,18296000
-467,59934389;0,64943390;15,35081000
-467,27166389;0,64943390;15,56444000
-466,94398389;0,67140720;15,67125000
-466,61630389;0,67140720;15,59496000
-466,28862389;0,67140720;15,67125000
-465,96094390;0,67140720;15,83911000
-465,63326390;0,64943390;15,86962000
-465,30558390;0,64943390;15,57970000
-464,97790390;0,64943390;15,64073000
-464,65022390;0,64943390;15,57970000
-464,32254391;0,64943390;15,64073000
-463,99486391;0,64943390;15,73229000
-463,66718391;0,62746050;15,70177000
-463,33950391;0,62746050;15,70177000
-463,01182391;0,64943390;15,96118000
-462,68414392;0,64943390;16,00696000
-462,35646392;0,64943390;16,03748000
-462,02878392;0,64943390;16,12903000
-461,70110392;0,64943390;16,06799000
-461,37342392;1,96050900;16,15955000
-461,04574393;3,29355800;16,22059000
-460,71806393;4,60524300;16,25110000
-460,39038393;5,91631800;16,40370000
-460,06270393;7,22739400;16,43422000
-459,73502393;8,53907900;16,52577000
-459,40734394;9,85015400;16,61733000
-459,07966394;11,16184000;16,73940000
-458,75198394;11,13987000;16,80044000
-458,42430394;11,11789000;16,75466000
-458,09662394;11,11789000;16,69362000
-457,76894395;11,11789000;16,69362000
-457,44126395;11,11789000;16,61733000
-457,11358395;11,09592000;16,75466000
-456,78590395;11,09592000;16,70888000
-456,45822395;11,09592000;16,83096000
-456,13054396;11,09592000;17,01407000
-455,80286396;11,11789000;16,76992000
-455,47518396;11,11789000;16,64785000
-455,14750396;11,11789000;16,40370000
-454,81982396;11,09592000;16,52577000
-454,49214397;11,09592000;16,47999000
-454,16446397;11,07456000;16,43422000
-453,83678397;11,05258000;16,40370000
-453,50910397;11,07456000;16,51051000
-453,18142397;11,05258000;16,52577000
-452,85374398;11,05258000;16,43422000
-452,52606398;11,05258000;16,54103000
-452,19838398;11,07456000;16,64785000
-451,87070398;11,07456000;16,63259000
-451,54302398;11,09592000;16,61733000
-451,21534399;11,11789000;16,75466000
-450,88766399;11,11789000;16,38844000
-450,55998399;11,13987000;16,44948000
-450,23230399;11,13987000;16,49525000
-449,90462399;11,11789000;16,43422000
-449,57694400;11,11789000;16,37318000
-449,24926400;11,11789000;16,47999000
-448,92158400;11,11789000;16,51051000
-448,59390400;11,09592000;16,61733000
-448,26622400;11,07456000;16,63259000
-447,93854401;11,07456000;16,44948000
-447,61086401;11,05258000;16,43422000
-447,28318401;11,05258000;16,47999000
-446,95550401;11,05258000;16,40370000
-446,62782401;11,05258000;16,35792000
-446,30014402;11,03061000;16,78518000
-445,97246402;11,03061000;16,61733000
-445,64478402;11,03061000;16,44948000
-445,31710402;11,00864000;16,49525000
-444,98942402;11,00864000;16,83096000
-444,66174403;11,00864000;16,69362000
-444,33406403;11,00864000;16,25110000
-444,00638403;11,00864000;16,44948000
-443,67870403;11,00864000;16,64785000
-443,35102403;11,03061000;16,70888000
-443,02334404;11,05258000;16,63259000
-442,69566404;11,07456000;16,61733000
-442,36798404;11,07456000;16,66311000
-442,04030404;11,09592000;16,81570000
-441,71262404;11,07456000;16,78518000
-441,38494405;11,07456000;16,67836000
-441,05726405;11,07456000;16,63259000
-440,72958405;11,07456000;16,49525000
-440,40190405;11,07456000;16,63259000
-440,07422405;11,05258000;16,78518000
-439,74654406;11,05258000;16,76992000
-439,41886406;11,03061000;16,83096000
-439,09118406;11,03061000;16,80044000
-438,76350406;11,05258000;16,75466000
-438,43582406;11,07456000;16,76992000
-438,10814407;11,05258000;16,73940000
-437,78046407;11,05258000;16,70888000
-437,45278407;11,07456000;16,66311000
-437,12510407;11,09592000;16,61733000
-436,79742407;11,09592000;16,54103000
-436,46974408;11,09592000;16,60207000
-436,14206408;11,09592000;16,87673000
-435,81438408;11,09592000;17,01407000
