Tiempo;Canal A;Canal B
(ms);(V);(mV)

-500,89789156;0,65440840;0,73244420
-500,57021156;0,65330970;0,67140720
-500,24253156;0,65330970;0,64088860
-499,91485156;0,65440840;0,76296270
-499,58717157;0,65330970;0,85451820
-499,25949157;0,65440840;0,67140720
-498,93181157;0,65440840;0,76296270
-498,60413157;0,65550710;0,99185150
-498,27645157;0,65550710;1,03762900
-497,94877158;0,65440840;1,03762900
-497,62109158;0,65440840;1,22074000
-497,29341158;0,65440840;1,22074000
-496,96573158;0,65440840;1,73955500
-496,63805158;0,65550710;1,73955500
-496,31037159;0,65440840;1,84637000
-495,98269159;0,65440840;1,70903600
-495,65501159;0,65550710;1,72429600
-495,32733159;0,65663620;1,72429600
-494,99965159;0,65663620;1,54118500
-494,67197160;0,65550710;1,44962900
-494,34429160;0,65550710;1,37333300
-494,01661160;0,65550710;1,34281400
-493,68893160;0,65550710;1,31229600
-493,36125160;0,65550710;1,20548100
-493,03357161;0,65330970;1,12918500
-492,70589161;0,65440840;1,11392600
-492,37821161;0,65550710;1,14444400
-492,05053161;0,65663620;1,11392600
-491,72285161;0,65663620;1,05288900
-491,39517162;0,65550710;0,85451820
-491,06749162;0,65663620;0,76296270
-490,73981162;0,65550710;1,23600000
-490,41213162;0,65550710;1,23600000
-490,08445162;0,65550710;1,25125900
-489,75677163;0,65550710;1,28177700
-489,42909163;0,65440840;1,15970300
-489,10141163;0,65440840;1,25125900
-488,77373163;0,65883360;1,23600000
-488,44605163;0,65773490;1,26651800
-488,11837164;0,65883360;1,34281400
-487,79069164;0,66103090;1,14444400
-487,46301164;0,65993230;1,20548100
-487,13533164;0,65883360;1,06814800
-486,80765164;0,65993230;1,08340700
-486,47997165;0,65993230;1,23600000
-486,15229165;0,65440840;1,02237000
-485,82461165;0,65111240;0,88503670
-485,49693165;0,65111240;0,88503670
-485,16925165;0,64998320;0,80874040
-484,84157166;0,64998320;0,76296270
-484,51389166;0,64998320;0,62562940
-484,18621166;0,64998320;0,45777760
-483,85853166;0,65111240;0,48829610
-483,53085166;0,65221110;0,47303690
-483,20317167;0,65550710;0,62562940
-482,87549167;0,65440840;0,61037020
-482,54781167;0,65550710;0,48829610
-482,22013167;0,65663620;0,47303690
-481,89245167;0,65663620;0,41199990
-481,56477168;0,65550710;0,86977740
-481,23709168;0,65550710;0,88503670
-480,90941168;0,65663620;0,90029600
-480,58173168;0,65773490;0,73244420
-480,25405168;0,65883360;0,88503670
-479,92637168;0,65773490;0,90029600
-479,59869169;0,65773490;0,67140720
-479,27101169;0,65663620;0,62562940
-478,94333169;0,65773490;0,77822200
-478,61565169;0,65773490;0,71718490
-478,28797169;0,65773490;0,74770340
-477,96029170;0,65773490;0,61037020
-477,63261170;0,65773490;0,61037020
-477,30493170;0,65773490;0,48829610
-476,97725170;0,65663620;0,47303690
-476,64957170;0,65883360;0,44251840
-476,32189171;0,65773490;0,30518510
-475,99421171;0,65663620;0,38148130
-475,66653171;0,65663620;0,41199990
-475,33885171;0,65663620;0,39674060
-475,01117171;0,65663620;0,48829610
-474,68349172;0,65663620;0,27466660
-474,35581172;0,65773490;0,30518510
-474,02813172;0,65773490;0,30518510
-473,70045172;0,65883360;0,27466660
-473,37277172;0,65883360;0,35096280
-473,04509173;0,65883360;0,24414810
-472,71741173;0,65773490;0,27466660
-472,38973173;0,65773490;0,32044430
-472,06205173;0,65773490;0,47303690
-471,73437173;0,65663620;0,47303690
-471,40669174;0,65663620;0,74770340
-471,07901174;0,65663620;0,77822200
-470,75133174;0,65663620;0,80874040
-470,42365174;0,65440840;0,79348120
-470,09597174;0,65440840;0,85451820
-469,76829175;0,65330970;0,86977740
-469,44061175;0,65221110;0,86977740
-469,11293175;0,65330970;0,73244420
-468,78525175;0,65221110;0,67140720
-468,45757175;0,65111240;0,67140720
-468,12989176;0,65111240;0,57985160
-467,80221176;0,65221110;0,73244420
-467,47453176;0,65330970;0,65614790
-467,14685176;0,65221110;0,62562940
-466,81917176;0,65440840;0,64088860
-466,49149177;0,65330970;0,53407390
-466,16381177;0,65330970;0,48829610
-465,83613177;0,65330970;0,48829610
-465,50845177;0,65330970;0,41199990
-465,18077177;0,65330970;0,54933320
-464,85309178;0,65221110;0,54933320
-464,52541178;0,65440840;0,41199990
-464,19773178;0,65330970;0,47303690
-463,87005178;0,65330970;0,24414810
-463,54237178;0,65440840;0,32044430
-463,21469179;0,65550710;0,21362960
-462,88701179;0,65663620;0,16785180
-462,55933179;0,65663620;0,19837030
-462,23165179;0,65773490;0,27466660
-461,90397179;0,65663620;0,13733330
-461,57629180;0,65773490;0,16785180
-461,24861180;0,65883360;0,06103702
-460,92093180;0,65883360;0,00000000
-460,59325180;0,65883360;0,04577776
-460,26557180;0,65773490;0,00000000
-459,93789181;0,65773490;0,09155552
-459,61021181;0,65773490;0,13733330
-459,28253181;0,65663620;0,39674060
-458,95485181;0,65550710;0,27466660
-458,62717181;0,65550710;0,30518510
-458,29949182;0,65440840;0,16785180
-457,97181182;0,65773490;0,10681480
-457,64413182;0,65993230;0,09155552
-457,31645182;0,65993230;0,16785180
-456,98877182;0,65883360;0,18311100
-456,66109183;0,66103090;0,24414810
-456,33341183;0,65993230;0,18311100
-456,00573183;0,65883360;0,12207400
-455,67805183;0,65993230;0,13733330
-455,35037183;0,65550710;0,07629627
-455,02269184;0,65330970;0,07629627
-454,69501184;0,65330970;0,00000000
-454,36733184;0,65330970;0,04577776
-454,03965184;0,65221110;-0,03051851
-453,71197184;0,65440840;0,00000000
-453,38429185;0,65440840;-0,12207400
-453,05661185;0,65440840;-0,19837030
-452,72893185;0,65550710;-0,16785180
-452,40125185;0,65550710;-0,27466660
-452,07357185;0,65550710;-0,30518510
-451,74589186;0,65663620;-0,28992580
-451,41821186;0,65773490;-0,45777760
-451,09053186;0,65773490;-0,57985160
-450,76285186;0,65773490;-0,70192570
-450,43517186;0,66325880;-0,67140720
-450,10749187;0,66212960;-0,70192570
-449,77981187;0,66325880;-0,68666640
-449,45213187;0,66435740;-0,68666640
-449,12445187;0,66435740;-0,71718490
-448,79677187;0,66216010;-0,68666640
-448,46909188;0,66103090;-0,68666640
-448,14141188;0,66103090;-0,71718490
-447,81373188;0,65440840;-0,67140720
-447,48605188;0,65440840;-0,39674060
-447,15837188;0,65440840;-0,42725910
-446,83069189;0,65330970;-0,33570360
-446,50301189;0,65221110;-0,27466660
-446,17533189;0,65330970;-0,28992580
-445,84765189;0,65440840;-0,13733330
-445,51997189;0,65440840;-0,25940730
-445,19229190;0,65440840;-0,06103702
-444,86461190;0,64998320;-0,01525925
-444,53693190;0,64778590;-0,18311100
-444,20925190;0,64888450;0,00000000
-443,88157190;0,64998320;0,00000000
-443,55389191;0,65111240;0,04577776
-443,22621191;0,64998320;-0,12207400
-442,89853191;0,64998320;0,07629627
-442,57085191;0,65111240;0,09155552
-442,24317191;0,65550710;0,09155552
-441,91549192;0,65773490;0,10681480
-441,58781192;0,65663620;-0,06103702
-441,26013192;0,65440840;-0,35096280
-440,93245192;0,65440840;-0,50355540
-440,60477192;0,65330970;-0,53407390
-440,27709193;0,65663620;-0,54933320
-439,94941193;0,65550710;-0,42725910
-439,62173193;0,65663620;-0,45777760
-439,29405193;0,65663620;-0,33570360
-438,96637193;0,65663620;-0,32044430
-438,63869194;0,65773490;-0,45777760
-438,31101194;0,65663620;-0,54933320
-437,98333194;0,65773490;-0,67140720
-437,65565194;0,65550710;-0,67140720
-437,32797194;0,65550710;-0,71718490
-437,00029195;0,65440840;-0,71718490
-436,67261195;0,65330970;-0,57985160
-436,34493195;0,65108190;-0,59511090
