Tiempo;Canal A;Canal B
(ms);(V);(mV)

-500,91171984;0,65550710;-3,18918400
-500,58403984;0,65440840;-3,12814700
-500,25635984;0,65440840;-3,14340600
-499,92867984;0,65550710;-3,28074000
-499,60099984;0,65111240;-3,32651700
-499,27331985;0,65221110;-3,28074000
-498,94563985;0,65330970;-3,21970200
-498,61795985;0,65440840;-3,11288800
-498,29027985;0,65440840;-3,02133200
-497,96259985;0,65663620;-3,08236900
-497,63491986;0,65663620;-3,40281400
-497,30723986;0,65550710;-3,41807300
-496,97955986;0,65883360;-3,41807300
-496,65187986;0,65773490;-3,31125800
-496,32419986;0,65663620;-3,31125800
-495,99651987;0,65663620;-3,21970200
-495,66883987;0,65663620;-3,17392500
-495,34115987;0,65440840;-3,38755400
-495,01347987;0,65550710;-3,41807300
-494,68579987;0,65330970;-3,38755400
-494,35811987;0,65330970;-3,25022100
-494,03043988;0,65330970;-3,12814700
-493,70275988;0,65440840;-2,99081400
-493,37507988;0,65330970;-2,99081400
-493,04739988;0,65330970;-3,12814700
-492,71971988;0,65550710;-3,00607300
-492,39203989;0,65550710;-2,67036900
-492,06435989;0,65883360;-2,82296200
-491,73667989;0,65883360;-2,80770300
-491,40899989;0,65663620;-2,65511000
-491,08131989;0,65440840;-2,44148100
-490,75363990;0,65440840;-2,13629600
-490,42595990;0,65440840;-2,15155500
-490,09827990;0,65440840;-2,02948100
-489,77059990;0,65440840;-1,99896200
-489,44291990;0,65440840;-2,01422100
-489,11523991;0,65553760;-2,12103600
-488,78755991;0,65663620;-2,07525800
-488,45987991;0,65773490;-2,01422100
-488,13219991;0,65773490;-2,02948100
-487,80451991;0,65773490;-2,13629600
-487,47683992;0,65773490;-2,21259200
-487,14915992;0,65663620;-2,25836900
-486,82147992;0,65663620;-2,16681400
-486,49379992;0,65663620;-2,41096200
-486,16611992;0,65663620;-2,33466600
-485,83843993;0,65773490;-2,31940700
-485,51075993;0,65773490;-2,42622100
-485,18307993;0,65773490;-2,41096200
-484,85539993;0,65773490;-2,45674000
-484,52771993;0,65773490;-2,38044400
-484,20003994;0,65663620;-2,45674000
-483,87235994;0,65550710;-2,38044400
-483,54467994;0,65663620;-2,42622100
-483,21699994;0,65440840;-2,25836900
-482,88931994;0,65440840;-2,31940700
-482,56163995;0,65330970;-2,31940700
-482,23395995;0,65221110;-2,31940700
-481,90627995;0,65330970;-2,12103600
-481,57859995;0,65440840;-2,15155500
-481,25091995;0,65440840;-2,21259200
-480,92323996;0,65330970;-2,21259200
-480,59555996;0,65660570;-2,04474000
-480,26787996;0,65773490;-1,98370300
-479,94019996;0,65773490;-2,01422100
-479,61251996;0,65883360;-1,84637000
-479,28483997;0,65773490;-1,60222200
-478,95715997;0,65773490;-1,58696200
-478,62947997;0,65773490;-1,54118500
-478,30179997;0,65773490;-1,77007300
-477,97411997;0,65663620;-1,77007300
-477,64643998;0,65550710;-1,70903600
-477,31875998;0,66103090;-1,98370300
-476,99107998;0,66103090;-2,01422100
-476,66339998;0,66216010;-2,02948100
-476,33571998;0,66103090;-1,92266600
-476,00803999;0,66103090;-2,15155500
-475,68035999;0,66103090;-2,15155500
-475,35267999;0,66103090;-2,21259200
-475,02499999;0,66103090;-2,25836900
-474,69731999;0,65663620;-2,34992500
-474,36964000;0,65550710;-2,31940700
-474,04196000;0,65440840;-2,25836900
-473,71428000;0,64778590;-2,07525800
-473,38660000;0,64778590;-2,24311000
-473,05892000;0,64778590;-2,19733300
-472,73124001;0,64668720;-2,25836900
-472,40356001;0,64778590;-2,13629600
-472,07588001;0,64668720;-2,12103600
-471,74820001;0,64778590;-2,34992500
-471,42052001;0,64888450;-2,33466600
-471,09284002;0,65663620;-2,42622100
-470,76516002;0,65663620;-2,19733300
-470,43748002;0,65663620;-2,21259200
-470,10980002;0,65663620;-2,24311000
-469,78212002;0,65663620;-2,15155500
-469,45444003;0,65773490;-2,18207300
-469,12676003;0,65663620;-2,16681400
-468,79908003;0,65663620;-2,27362900
-468,47140003;0,65550710;-2,28888800
-468,14372003;0,65663620;-2,12103600
-467,81604004;0,65663620;-2,13629600
-467,48836004;0,65663620;-2,31940700
-467,16068004;0,65663620;-2,51777700
-466,83300004;0,65550710;-2,53303600
-466,50532004;0,65550710;-2,56355500
-466,17764005;0,65550710;-2,44148100
-465,84996005;0,65550710;-2,27362900
-465,52228005;0,65440840;-2,16681400
-465,19460005;0,65550710;-2,27362900
-464,86692005;0,65663620;-2,19733300
-464,53924006;0,65440840;-2,31940700
-464,21156006;0,65440840;-2,24311000
-463,88388006;0,65550710;-2,24311000
-463,55620006;0,65440840;-2,24311000
-463,22852006;0,65440840;-2,13629600
-462,90084007;0,65550710;-2,19733300
-462,57316007;0,65440840;-2,27362900
-462,24548007;0,65330970;-2,24311000
-461,91780007;0,65440840;-2,30414700
-461,59012007;0,65550710;-2,27362900
-461,26244008;0,65550710;-2,27362900
-460,93476008;0,65550710;-2,34992500
-460,60708008;0,65663620;-2,18207300
-460,27940008;0,65663620;-2,05999900
-459,95172008;0,64668720;-1,92266600
-459,62404009;0,64778590;-2,04474000
-459,29636009;0,64888450;-1,81585100
-458,96868009;0,64778590;-1,81585100
-458,64100009;0,64558860;-1,81585100
-458,31332009;0,64558860;-1,67851800
-457,98564010;0,64445940;-1,73955500
-457,65796010;0,64445940;-1,78533300
-457,33028010;0,65440840;-1,54118500
-457,00260010;0,65330970;-1,38859200
-456,67492010;0,65221110;-1,80059200
-456,34724011;0,65221110;-1,60222200
-456,01956011;0,65440840;-1,48014800
-455,69188011;0,65550710;-1,77007300
-455,36420011;0,65550710;-1,92266600
-455,03652011;0,65440840;-1,95318400
-454,70884012;0,65440840;-2,25836900
-454,38116012;0,65330970;-2,30414700
-454,05348012;0,65440840;-2,05999900
-453,72580012;0,65550710;-1,98370300
-453,39812012;0,65330970;-1,99896200
-453,07044013;0,65221110;-2,12103600
-452,74276013;0,65221110;-2,01422100
-452,41508013;0,65330970;-1,98370300
-452,08740013;0,65330970;-2,04474000
-451,75972013;0,65330970;-1,84637000
-451,43204014;0,65440840;-1,58696200
-451,10436014;0,65330970;-1,70903600
-450,77668014;0,65440840;-1,63274000
-450,44900014;0,65330970;-1,57170300
-450,12132014;0,65221110;-1,58696200
-449,79364015;0,65111240;-1,61748100
-449,46596015;0,65221110;-1,72429600
-449,13828015;0,65440840;-1,63274000
-448,81060015;0,65221110;-1,58696200
-448,48292015;0,65330970;-1,49540700
-448,15524016;0,65330970;-1,44962900
-447,82756016;0,65440840;-1,48014800
-447,49988016;0,65663620;-1,49540700
-447,17220016;0,65773490;-1,48014800
-446,84452016;0,65663620;-1,49540700
-446,51684017;0,65550710;-1,35807400
-446,18916017;0,65663620;-1,40385100
-445,86148017;0,65440840;-1,54118500
-445,53380017;0,65550710;-1,48014800
-445,20612017;0,65550710;-1,40385100
-444,87844018;0,65440840;-1,25125900
-444,55076018;0,65440840;-1,32755500
-444,22308018;0,65440840;-1,44962900
-443,89540018;0,65550710;-1,46488800
-443,56772018;0,65550710;-1,40385100
-443,24004019;0,65663620;-1,23600000
-442,91236019;0,65550710;-1,32755500
-442,58468019;0,65550710;-1,20548100
-442,25700019;0,65550710;-1,23600000
-441,92932019;0,65440840;-1,37333300
-441,60164020;0,65330970;-1,23600000
-441,27396020;0,65330970;-1,12918500
-440,94628020;0,65221110;-1,14444400
-440,61860020;0,65221110;-1,03762900
-440,29092020;0,65221110;-0,97659220
-439,96324021;0,65221110;-0,96133300
-439,63556021;0,65221110;-0,93081450
-439,30788021;0,65330970;-0,94607370
-438,98020021;0,65440840;-0,96133300
