Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,02270368;11,11789000;88,57997000
-500,69502369;11,11789000;90,06012000
-500,36734369;11,13987000;91,28086000
-500,03966369;11,13987000;92,77626000
-499,71198369;11,13987000;94,16486000
-499,38430369;11,13987000;95,64500000
-499,05662370;11,11789000;97,14041000
-498,72894370;11,09592000;98,68159000
-498,40126370;11,09592000;100,22280000
-498,07358370;11,09592000;101,73340000
-497,74590370;11,09592000;103,13730000
-497,41822371;11,07456000;104,61740000
-497,09054371;11,07456000;106,00600000
-496,76286371;11,05258000;107,42510000
-496,43518371;11,07456000;108,79850000
-496,10750371;11,07456000;110,15660000
-495,77982372;11,09592000;111,37730000
-495,45214372;11,09592000;112,62850000
-495,12446372;11,09592000;113,89510000
-494,79678372;11,11789000;114,62750000
-494,46910372;11,09592000;115,80250000
-494,14142373;11,11789000;116,93170000
-493,81374373;11,09592000;118,19820000
-493,48606373;11,11789000;119,43420000
-493,15838373;11,11789000;120,71600000
-492,83070373;11,09592000;122,33340000
-492,50302374;11,09592000;123,55420000
-492,17534374;11,09592000;124,19510000
-491,84766374;11,11789000;125,41580000
-491,51998374;11,11789000;126,36190000
-491,19230374;11,11789000;127,39950000
-490,86462375;11,09592000;128,43710000
-490,53694375;11,09592000;129,36800000
-490,20926375;11,11789000;130,19200000
-489,88158375;11,11789000;131,39740000
-489,55390375;11,09592000;132,43510000
-489,22622376;11,07456000;133,39640000
-488,89854376;11,07456000;134,44930000
-488,57086376;11,09592000;135,24280000
-488,24318376;11,09592000;136,09730000
-487,91550376;11,09592000;137,01280000
-487,58782377;11,07456000;137,68420000
-487,26014377;11,05258000;138,47770000
-486,93246377;11,05258000;139,75950000
-486,60478377;11,05258000;140,62930000
-486,27710377;11,05258000;141,52960000
-485,94942378;11,05258000;142,27730000
-485,62174378;11,07456000;143,04030000
-485,29406378;11,05258000;143,91000000
-484,96638378;11,07456000;144,73400000
-484,63870378;11,07456000;145,55800000
-484,31102379;11,09592000;146,38200000
-483,98334379;11,11789000;147,49590000
-483,65566379;11,11789000;148,28940000
-483,32798379;11,11789000;149,08290000
-483,00030379;11,11789000;149,80010000
-482,67262380;11,13987000;150,57830000
-482,34494380;11,13987000;151,44810000
-482,01726380;11,16184000;152,01270000
-481,68958380;11,16184000;152,60780000
-481,36190380;11,13987000;153,29450000
-481,03422381;11,11789000;153,88960000
-480,70654381;11,11789000;154,60680000
-480,37886381;11,11789000;155,32390000
-480,05118381;11,09592000;155,70540000
-479,72350381;11,07456000;156,42260000
-479,39582382;11,07456000;156,89560000
-479,06814382;11,07456000;157,42970000
-478,74046382;11,07456000;157,91800000
-478,41278382;11,09592000;158,25370000
-478,08510382;11,09592000;158,78780000
-477,75742383;11,09592000;159,26080000
-477,42974383;11,09592000;159,58130000
-477,10206383;11,09592000;159,70340000
-476,77438383;11,07456000;160,16110000
-476,44670383;11,07456000;160,49680000
-476,11902384;11,09592000;160,87830000
-475,79134384;11,09592000;161,18350000
-475,46366384;11,09592000;161,44290000
-475,13598384;11,09592000;161,62600000
-474,80830384;11,11789000;161,71760000
-474,48062385;11,13987000;162,06850000
-474,15294385;11,16184000;162,16010000
-473,82526385;11,16184000;162,48050000
-473,49758385;11,16184000;162,60260000
-473,16990385;11,16184000;162,84680000
-472,84222385;11,13987000;163,04510000
-472,51454386;11,13987000;163,16720000
-472,18686386;11,13987000;163,22820000
-471,85918386;11,11789000;163,38080000
-471,53150386;11,11789000;163,45710000
-471,20382386;11,09592000;163,59450000
-470,87614387;11,09592000;163,59450000
-470,54846387;11,07456000;163,67070000
-470,22078387;11,07456000;163,64020000
-469,89310387;11,05258000;163,65550000
-469,56542387;11,03061000;163,64020000
-469,23774388;11,05258000;163,51820000
-468,91006388;11,05258000;163,42660000
-468,58238388;11,05258000;163,25880000
-468,25470388;11,03061000;163,28930000
-467,92702388;11,05258000;163,54870000
-467,59934389;11,05258000;163,19770000
-467,27166389;11,05258000;163,09090000
-466,94398389;11,05258000;162,70940000
-466,61630389;11,05258000;162,43480000
-466,28862389;11,05258000;162,22110000
-465,96094390;11,07456000;161,85490000
-465,63326390;11,09592000;161,51920000
-465,30558390;11,09592000;161,39710000
-464,97790390;11,09592000;161,24450000
-464,65022390;11,11789000;161,04620000
-464,32254391;11,11789000;160,75620000
-463,99486391;11,11789000;160,45110000
-463,66718391;11,09592000;160,02380000
-463,33950391;11,09592000;159,71860000
-463,01182391;11,07456000;159,38290000
-462,68414392;11,07456000;159,00140000
-462,35646392;11,09592000;158,63520000
-462,02878392;11,09592000;158,52840000
-461,70110392;11,11789000;158,16220000
-461,37342392;11,11789000;157,81120000
-461,04574393;11,11789000;157,52130000
-460,71806393;11,09592000;157,00250000
-460,39038393;11,09592000;156,69730000
-460,06270393;11,09592000;156,02590000
-459,73502393;11,09592000;155,49180000
-459,40734394;11,07456000;154,92720000
-459,07966394;11,05258000;154,33210000
-458,75198394;11,03061000;153,67590000
-458,42430394;11,05258000;153,08080000
-458,09662394;11,05258000;152,37890000
-457,76894395;11,07456000;151,76850000
-457,44126395;11,07456000;151,08190000
-457,11358395;11,05258000;150,31890000
-456,78590395;11,07456000;149,57120000
-456,45822395;11,07456000;148,82350000
-456,13054396;11,07456000;148,09100000
-455,80286396;11,07456000;147,35860000
-455,47518396;11,09592000;146,59560000
-455,14750396;11,09592000;145,71060000
-454,81982396;11,07456000;144,96290000
-454,49214397;11,09592000;144,10840000
-454,16446397;11,09592000;143,22340000
-453,83678397;11,09592000;142,59770000
-453,50910397;11,09592000;141,68220000
-453,18142397;11,09592000;140,82770000
-452,85374398;11,09592000;139,91210000
-452,52606398;11,07456000;138,99660000
-452,19838398;11,09592000;137,91310000
-451,87070398;11,07456000;136,43300000
-451,54302398;11,05258000;135,34960000
-451,21534399;11,07456000;134,29670000
-450,88766399;11,07456000;133,30480000
-450,55998399;11,07456000;132,28250000
-450,23230399;11,07456000;131,15330000
-449,90462399;11,07456000;130,14620000
-449,57694400;11,05258000;129,03220000
-449,24926400;11,07456000;127,88780000
-448,92158400;11,07456000;126,71290000
-448,59390400;11,05258000;125,52260000
-448,26622400;11,07456000;124,45450000
-447,93854401;11,07456000;123,38630000
-447,61086401;11,07456000;122,19610000
-447,28318401;11,09592000;121,06690000
-446,95550401;11,11789000;119,86140000
-446,62782401;11,09592000;118,62540000
-446,30014402;11,11789000;117,32840000
-445,97246402;11,11789000;116,09240000
-445,64478402;11,11789000;114,68860000
-445,31710402;11,09592000;113,36100000
-444,98942402;11,09592000;112,01820000
-444,66174403;11,09592000;110,88900000
-444,33406403;11,09592000;109,60720000
-444,00638403;11,11789000;108,32540000
-443,67870403;11,11789000;106,95210000
-443,35102403;11,13987000;105,60930000
-443,02334404;11,13987000;104,20540000
-442,69566404;11,13987000;102,98470000
-442,36798404;11,13987000;101,41300000
-442,04030404;11,11789000;99,82604000
-441,71262404;11,09592000;98,28486000
-441,38494405;11,07456000;96,75893000
-441,05726405;11,07456000;95,33981000
-440,72958405;11,05258000;93,92071000
-440,40190405;11,05258000;92,48634000
-440,07422405;11,05258000;91,11301000
-439,74654406;11,03061000;89,81597000
-439,41886406;11,05258000;88,30531000
-439,09118406;11,07456000;86,85567000
-438,76350406;11,09592000;85,19241000
-438,43582406;11,07456000;83,74278000
-438,10814407;11,09592000;82,12530000
-437,78046407;11,09592000;80,40101000
-437,45278407;11,09592000;78,84457000
-437,12510407;11,09592000;77,31864000
-436,79742407;11,07456000;75,79271000
-436,46974408;11,05258000;74,17523000
-436,14206408;11,05258000;72,81715000
-435,81438408;11,07456000;71,18443000
